"more presumptious","pió presuntuoso"
" has a tendency to chew on "," ha la tendenza a masticare "
"  Offloading units... ","  Scaricamento unitÖ... "
"towering","torreggiante"
"the Distance Scale","la Scala di Distanza"
"[C:7:0:0]No evaluated wounds","[C:7:0:0]Nessuna ferita apprezzabile"
"Set the details of this task, such as the material used.","Imposta i dettagli di questo compito, come ad esempio il materiale utilizzato."
"Temperate Saltwater Pool","Pozza d'acqua salata temperata"
"Only selected do this","Solo i selezionati lo fanno"
"Divorced","Divorziato"
"Election","Elezione"
"balance","equilibrio"
" out and tries to return favors"," e cerca di restituire i favori"
"Citizen death","Morte del cittadino"
"sees those that attempt to maintain dignified and proper behavior as vain and offensive","considera vani e offensivi coloro che cercano di mantenere un comportamento dignitoso e corretto"
"lost a hist fig entry","persa voce di figura storica"
" own appearance, abilities and other personal matters"," proprio aspetto, capacitÖ e altre questioni personali"
"discourse on the nature of processes","discorso sulla natura dei processi"
"Ah...  uh...","Mmh...  aah..."
"The main way is by brewing alcohol. ","Il modo principale ä producendo alcolici. "
"An item has returned!","Un oggetto ä tornato!"
"has a clear voice","ha una voce chiara"
"I slew ","Ho ucciso "
"Drowned","Affogato"
"Finish setting dig orders.","Finisci d'impostare ordini di scavo."
"Tavern keeper","Locandiere"
"Describe the refugees created by the attack of ","Descrivi i rifugiati creati dall'attacco di "
"Available Animals","Animali disponibili"
"Economy trade trigger 4","Attivazione commercio economia 4"
" out.","."
"the Atlas","l'Atlante"
"Two ","Due "
"Haunted","Infestato"
"Yearly","Annuale"
"engineering:machine:chariot odometer","ingegneria:macchinario:odometro del carro"
"Burned to death by a ","Bruciato a morte da un "
"  Perhaps you can gather plants, fruit, or go fishing.","  Forse si possono raccogliere piante, frutti o andare a pesca."
"The rules of the form are applied by choreographers to produce individual dances which can be performed.  ","Le regole della forma sono applicate dai coreografi per produrre danze individuali che possono essere eseguite.  "
" has been lost to time"," ä andato perduto nel tempo"
"trader","commerciante"
"considers ","considera "
"the Course of Disease","il Decorso della Malattia"
"Are you interested in ","Siete interessati a "
"Violation of production order","Violazione dell'ordine di produzione"
"caging a creature","ingabbiando una creatura"
"noted villain","noto cattivo"
"Choose a symbol for the detail.","Scegli un simbolo per il dettaglio."
"witnessing a night creature drinking blood","assistere a una creatura notturna che beve sangue"
"chant","canto"
"a claimant for ","un pretendente per "
"lye","liscivia"
"Can your parameters achieve elevations between 0 and 99 frequently?  ","I tuoi parametri possono raggiungere frequentemente quote tra 0 e 99?  "
"the relationship between the half chords of a triangle's angles, the opposite side lengths, and the diameter of the triangle's circumscribed circle","la relazione tra le mezze corde degli angoli di un triangolo, le lunghezze dei lati opposti e il diametro del cerchio circoscritto nel triangolo"
"Named objects","Oggetti nominati"
"  All drinks are free, of course!","  Tutte le bevande sono gratuite, naturalmente!"
"square-chin","mento squadrato"
"       --> Swayed by emotions","       --> Influenzato dalle emozioni"
"Mathematician","Matematico"
" prepared by "," preparato da "
"Cannot see dawn.","Impossibile vedere l'alba."
"Unsupported CE remove tag: ","CE non supportato rimuovi tag: "
"clerks","impiegati"
"removed erroneous unit occupancy flag","rimosso flag errato di occupazione dell'unitÖ"
"a bridge-passage","un bridge"
"this location","questa posizione"
"Local resident creature named","Creatura residente in zona ä stata nominata"
"melt","fondere"
"a stunning lack of analytical ability","una sorprendente mancanza di capacitÖ analitica"
" coughs"," tossisce"
"[C:6:0:0].Serious blistering","[C:6:0:0].Seria comparsa di vesciche"
"just fine","a posto cosç"
"engineering:optics:law of refraction","ingegneria:ottica:legge della rifrazione"
"Come see me in my store sometime.","Venite a trovarmi nel mio negozio qualche volta."
"Somebody discussed their problems with me.","Qualcuno ha parlato con me dei suoi problemi."
"Grassland region count fails by ","Il conteggio delle regioni di prateria fallisce per "
"caught in smoke","intrappolato dal fumo"
"Toggle Fullscreen","Attiva/disattiva Schermo intero"
"What will you say about the gang?","Che dirai riguardo alla banda?"
"examples of triples of very large whole numbers which, when taken together, are the lengths of the sides of a right triangle","esempi di terne di numeri interi molto grandi che, sommati, sono le lunghezze dei lati di un triangolo rettangolo"
"lash","frustata"
"Removing dumping designations","Rimozione marchi di scarto"
"thread to","filo per"
"Loss","Perdita"
"Seek Eating Chair","Cerca Sedia da pranzo"
"more humorless","pió privo di umorismo"
"friendly fighter","combattente amico"
":neck:necks",":manico:manici"
"Recovering Wounded","Recuperando Feriti"
"determining the likely outcome given a patient's current status","determinare l'esito probabile in base allo status attuale del paziente"
"Opal","Opale"
"Terror","Terrore"
"Place carpenter's workshop","Piazza Bottega del carpentiere"
"All of the pipes are flue pipes.  ","Tutte le canne sono canne labiali.  "
"is often nervous","ä spesso nervoso"
"is absorbed in delusions of self-importance","ä assorbito da manie di protagonismo"
"power","potenza"
"cheer propensity","propensione alla gioia"
"famous for your loyalty as a soldier","famoso per la tua lealtÖ come soldato"
"Start War","Inizia Guerra"
"Industry","Industria"
"deeply respects those that work hard at their labors","rispetta profondamente chi s'impegna a fondo nel loro lavoro"
"You have only heard tell of these creatures.","Hai solo sentito parlare di queste creature."
" to study"," per studiare"
"It's quite astonishing.","‘ davvero sorprendente."
"preserver of knowledge","custode della conoscenza"
" rejected contact with "," ha rifiutato il contatto con "
"after being unable to leave a location","dopo essere stato incapace di lasciare un luogo"
"the Tomb","il Sepolcro"
"Regular mining blueprint","Progetto di scavo regolare"
"a legendary dancer","un leggendario danzatore"
"throwing something","lanciando qualcosa"
"might become impatient or upset with you.  ","potrebbero spazientirsi o arrabbiarsi con te.  "
"Struck down","Abbattuto"
"An injured ","Un ferito "
"with the lead turning out counterclockwise","con il filo che gira in senso antiorario"
"Use last material","Utilizza l'ultimo materiale"
"Archery Practice","Pratica con l'arco"
" that occurs in the myths of "," che si verifica nei miti di "
"Sleep and rest","Sonno e riposo"
"be merry","essere festoso"
"Properties","ProprietÖ"
"Gluttony","Gola"
"the creation of asylums for the mentally ill","la creazione di manicomi per malati di mente"
"doesn't handle stress well","non gestisce bene lo stress"
" own experiences and thoughts with others"," le proprie esperienze e pensieri con gli altri"
".  How can I even describe the skill?",".  Come posso descrivere quest'abilitÖ?"
"is very tall with huge muscles","ä molto alto con muscoli enormi"
"eating without dining room","mangiando senza sala da pranzo"
"superiorly ","superiormente "
"less cautious","meno prudente"
"Leave this menu and recenter on this place.","Esci dal menó e rincentra su questo posto."
"Musical","Musicale"
"Heavy aquifer","Acquifero profondo"
"Most shocking!","Scioccante!"
"Trade diplomat","Diplomatico del commercio"
"more of a perfectionist","pió che perfezionista"
"the first contact of ","il primo contatto di "
"No civilized population","Nessuna popolazione civilizzata"
"Who cares what they think?","A chi importa ciï che pensano?"
"is long and scrawny","ä lungo e ossuto"
" training."," addestramento."
"Finalizing creature variations...","Ultimando variazioni creature..."
"bloody ","sanguinoso "
"Regular mining","Scavo regolare"
"Poetry","Poesia"
"Seek Patient for Carry","Cerca Paziente per il trasporto"
"Strap item","Lega oggetto"
"[C:6:0:1]Moderate pain","[C:6:0:1]Dolore moderato"
" flounders"," platesse"
"acquired item","oggetto acquisito"
"No recommendations available","Raccomandazioni non disponibili"
"Would you like to join ","Ti piacerebbe unirti a "
"In conflict! ","In conflitto! "
"with an inscrutable goal","con un obiettivo imperscrutabile"
"If you speak to a priest at a temple or select the Chosen destiny, you might receive a divine quest.","Se parli con un sacerdote in un tempio o selezioni il destino Prescelto, potresti ricevere una missione divina."
" has entered a martial trance!"," ä entrato in una trance marziale!"
"[C:5:0:1]Faint","[C:5:0:1]Privo di sensi"
"No operator","Nessun operatore"
"a good","un buon"
" hand gesture"," cenno con la mano"
"You cannot jump while wrestling.","Non puoi saltare mentre combatti."
"Quarters","Alloggi"
"is incredibly short and bears massive lardy rolls","ä incredibilmente basso e ha enormi rotoli di lardo"
"No one even considered making the journey to such a cursed unhappy death-trap this season.","Nessuno ha mai preso in considerazione d'intraprendere il viaggio verso una tale maledetta e infelice trappola mortale in questa stagione."
"FPS has dropped below 50. Multithreading is not on, and may improve performance. Do you wish to enable it? (You can always turn it off or on in the options later.)","L'FPS ä sceso sotto i 50. Il multithreading non ä attivo e potrebbe migliorare le prestazioni. Desideri attivarlo? (Puoi sempre attivarlo o disattivarlo in un secondo momento nelle opzioni.)"
"is lanky","ä smilzo"
"finds the whole idea of introspection completely offensive and contrary to the ideals of a life well-lived","trova l'intera idea d'introspezione completamente offensiva e contraria agli ideali di una vita ben vissuta"
"Market Tree","Albero mercato"
"This is a ","Questo ä "
"engineering:machine:windlass","ingegneria:macchinario:verricello"
"hunting","caccia"
"dietary relationships","relazioni alimentari"
"is very weak","ä molto debole"
"Climate","Il clima"
"drinking blood","bevendo sangue"
"Dancing","Ballando"
" (not possible)"," (impossibile)"
"Select a merchant group to trade with:","Seleziona gruppo di mercanti con cui commerciare:"
"dyeable ","tingibile "
"the dispute between ","la controversia tra "
"I am beside myself with grief.  Perhaps we will show you how they suffered.","Sono fuori di me dal dolore.  Magari vi mostreremo come hanno sofferto."
"is muscular and very broad","ä muscoloso e molto ampio"
" a solemn"," un solenne"
" own nature as "," propria natura come "
"the construction and use of the water wheel","la costruzione e l'uso della ruota idraulica"
"What's going on?!","Cosa sta succedendo?!"
"Keep","Mastio"
" has self-referential diplomacy state"," ha uno stato diplomatico autoreferenziale"
"Wilderness population changes","Cambiamenti nella popolazione selvatica"
"Everybody does this","Ognuno lo fa"
"philosophy:ethics:applied military","filosofia:etica:etica militare applicata"
" completely paralyzed!"," totalmente paralizzato!"
"Slayer of ","Uccisore di "
"being forced to endure the decay of a spouse","essere costretto a sopportare il decomporsi del coniuge"
"the Wheel-and-Axles","la Ruota-e-Assi"
"Your citizens will collect clay at this zone if a clay floor or clay wall is included.  This task is initiated manually at the kiln.","I cittadini raccoglieranno l'argilla in questa zona se ä presente un pavimento o muro in argilla.  Questo compito si avvia manualmente presso il forno."
"Popup: Hauling","Popup: Trasporto"
"for the purpose of","allo scopo di"
" engaged me to infiltrate "," mi ha ingaggiato per infiltrarmi "
"Poem recitation","Recitazione di poesie"
"the Rank","il Rango"
"[C:7:0:0:]Diagnosed with ","[C:7:0:0:]Diagnosi di "
" pushes "," spinge "
"magma sea","mare magmatico"
" not found -- using default."," non trovato -- utilizzando predefinito."
"Friendly fighter","Combattente amico"
" a cloud of "," una nuvola di "
"Arena: Conflict state up","Arena: Stato conflitto aumentato"
"more austere","pió austero"
"The lyrics of the accompaniment are way too serious.","I testi dell'accompagnamento sono troppo seri."
"septuplets","sette gemelli"
"Time","Tempo"
"is rarely happy or enthusiastic","ä raramente felice o entusiasta"
"The vomit splatters into the shallow puddle of water.","Il vomito schizza nella pozzanghera d'acqua."
"Unnamed dump","Discarica senza nome"
"has a broad, recessed","ha un ampio, sfuggente"
"while ","mentre "
"a horrible dining room","un'orribile sala da pranzo"
"Clean","Pulisci"
" concerning "," riguardante "
"And what exactly do you want?","E cosa vuoi esattamente?"
"a specific wilderness region","una regione selvaggia specifica"
"I feel so isolated!","Mi sento cosç isolato!"
"Cups/Mugs/Goblets","Coppe/Boccali/Calici"
"It's wrong.","‘ sbagliato."
"A drone string is","Una corda di bordone ä"
"is muscular and incredibly tall","ä muscoloso e incredibilmente alto"
"make weapon","crea arma"
"began dreaming of falling in love","ha iniziato a sognare d'innamorarsi"
"tomb","sepolcro"
"the Effect","l'Effetto"
"No designated area","Nessun'area designata"
"You will best serve by finishing your quest.","Il modo migliore per servire la causa ä portare a termine la tua missione."
"jovial","gioviale"
"Normal shot","Colpo normale"
"You are paralyzed.","Sei paralizzato."
" finished the construction of "," finito la costruzione di "
"Track (NSE)","Binario (NSE)"
"Unnamed office","Ufficio senza nome"
"mechanical clocks","orologi meccanici"
"second eldest child","secondo figlio maggiore"
"state bias","pregiudizio di stato"
"Seek Fish Trap","Cerca Trappola Pesci"
"The topic being discussed is ","L'argomento discusso ä "
"Saving schedules...","Salvataggio programmi..."
"Hunter","Cacciatore"
"Alternatively, you can reduce the number of ocean squares and regions required by the parameters.","In alternativa puoi ridurre il numero di caselle e regioni d'oceano richieste dai parametri."
"Taken by a fright!","Ha preso uno spavento!"
"Your Animals","I tuoi animali"
"Scheduled Meal","Pasto programmato"
"You have been ordered to drive these forces out.","Vi ä stato ordinato di scacciare queste forze."
"medicine:tool:forceps","medicina:strumento:pinza"
"Set the weather, temperature, and time.","Imposta tempo, temperatura e orario."
"the classification of creatures by their physical features","la classificazione delle creature in base alle loro caratteristiche fisiche"
"nerves","nervi"
"Somebody help!","Qualcuno aiuti!"
"Noted fighter","Noto combattente"
", to be delivered from ",", da consegnare da "
"That is amazing.","‘ fantastico!"
"Every note is named.  ","Ogni nota ha un nome.  "
" by a flying object"," da un oggetto volante"
"beating somebody with a hammer","picchiare qualcuno con un martello"
"law-givers","legislatori"
" is gelded.  "," ä castrato.  "
"Overall, the choreography is great","Nel complesso la coreografia ä ottima"
"Put on item","Indossa l'oggetto"
"barons consort","baroni consorti"
"Export XML","Esporta XML"
"Select a category below to begin.","Seleziona una categoria qui sotto per iniziare."
"You hear ","Senti "
"the Peaks","le Vette"
"Have they gone on adventures or moved on to richer delving at new frontier settlements? ","Sono partiti all'avventura o si sono spostati verso pió ricchi insediamenti di nuova frontiera? "
"Give","Dai"
"theft","furto"
"Plant Gathering","Raccolta di Piante"
"Move down to the southwest.","Spostati verso sud-ovest."
"Yes, let's move on.","Sç, andiamo avanti."
"Removing mining/chopping/gathering/smoothing orders","Rimuovendo ordine scavo/taglio/raccolta/levigazione"
"the ascension","l'ascensione"
"medicine:tool:plants as surgical models","medicina:strumento:piante come modelli chirurgici"
"the Knowledge","la Conoscenza"
"a performance of ","uno spettacolo di "
"fearlessness","intrepidezza"
" Civilians"," Civili"
"'s annoyed","ä infastidito"
"the theory and methods involved in the extraction of a constituent liquid from one solution to another","la teoria e i metodi coinvolti nell'estrazione di un liquido costituente da una soluzione a un'altra"
" have "," ha "
"every season","ogni stagione"
"sexain","sestetto"
"Migrants were too nervous to make the journey this season to this unhappy fortress.","I migranti erano troppo nervosi per affrontare il viaggio di questa stagione verso questa infelice fortezza."
"Performer","Artista"
"suspicious","sospettoso"
"agreed to adventure with","ha accettato di viaggiare con"
"Move keyboard cursor down and right, fast","Muovi cursore tastiera gió e a destra, veloce"
"was killed by falling rocks","ä stato ucciso da rocce cadute"
"Wait, what?","Aspetta, cosa?"
"I was beaten with the hammer.","Sono stato picchiato con il martello."
"Citizen kidnapped","Cittadino rapito"
"Allow non-plant/animal","Consenti non-pianta/animale"
"There is no gaiety.","Non c'ä gaiezza."
"mind and body","mente e corpo"
"Create new route","Crea nuovo rotta"
" reciting"," recitando"
"There is a basic movement ","C'ä un movimento di base "
"Mouse-context scrollbar page up","Barra Scorr. Mouse pag su"
" drums "," tamburella "
"Terrified","Terrorizzato"
"finds nature somewhat disturbing","trova la natura piuttosto inquietante"
"Be careful, for their leader ","Fa' attenzione, perchÇ il loro capo "
"wonderful","meraviglioso"
"Disdains craftwork","Disdegna l'artigianato"
"dreams of crafting a masterwork someday","sogna, un giorno, di creare un capolavoro"
"bone-chilling horror","orrore agghiacciante"
"The world generator is having trouble placing grasslands.  ","Il generatore del mondo ha difficoltÖ a collocare le praterie.  "
"Add or choose a location.","Aggiungi o scegli un luogo."
"Clothing","Abbigliamento"
": Negative precedence changed to zero",": Precedenza negativa modificata in zero"
"Tyranny","Tirannia"
"tastefully arranged ","disposto con gusto: "
" attack "," attacca "
"Animal Survival","Sopravvivenza Animale"
"Ice Upward Track (NW)","Ghiaccio Binario in Su (NO)"
"bowyer","costruttore di archi"
" line."," linea."
"Crutches (Desired): ","Stampelle (desiderate): "
"Creatures do not trigger","Le creature non attivano"
"Large Profile","Profilo grande"
"unbreakable focus","concentrazione infrangibile"
"animated","animato"
" gets excited, "," si emoziona, "
"It has no writing.","Non ha scritte."
" introduction"," introduzione"
"I do not scheme.","Non sto tramando."
"the reasons why the wedge is effective","i motivi per cui il cuneo ä efficace"
"Geographer","Geografo"
" family"," famiglia"
"Seek infant","Cerca neonato"
"You are considered an integral part of the opposition.","Sei considerato parte integrante dell'opposizione."
"the rise of the sun according to the season","il sorgere del sole secondo la stagione"
" have been disturbed."," sono stati disturbati."
"doubt","dubbio"
"Invaders can build floors and stairs","Gli invasori possono costruire pavimenti e scale"
"is short and scrawny","ä basso e ossuto"
"I've forgotten what I was going to say...","Ho dimenticato cosa stavo per dire..."
"Rebuilding temporary information...","Ricostruzione delle informazioni temporanee..."
"engineering:machine:warded lock","ingegneria:macchinario:serratura"
"unfathomably weak","incredibilmente debole"
" destroyed "," distrutto "
"Anatomies","Anatomie"
"I give to you this fine beast, ","Vi regalo questa bella bestia, "
" passive"," passivo"
"Select materials for the ","Seleziona materiali per il "
"I really enjoyed that!","Mi ä piaciuto molto!"
"as part of a trade negotiation","nell'ambito di un negoziato commerciale"
"infamous thief","famigerato ladro"
"Built","Costruito"
"assign schedules.","assegna programmi."
" is gone.  "," mancante.  "
"Watch ","Guarda "
" Logs"," Rapporti"
"chemistry:laboratory:glass ampoule","chimica:laboratorio:ampolla di vetro"
"The Home Tree","La Casa Albero"
"animals","animali"
" and maybe something to drink as well!"," e magari anche qualcosa da bere!"
"improved skill","abilitÖ migliorata"
"Invaders can free creatures from cages","Gli invasori possono liberare le creature dalle gabbie"
"has a broad body","ha un corpo ampio"
"Thread (yarn)","Filo (gomitolo)"
"noted enemy","noto nemico"
"begins to talk louder when ","inizia a parlare pió forte quando "
"decomposing","decomposto"
"bring peace to the world","portare pace nel mondo"
"I can now reside in ","Ora posso vivere a "
"I'm very worried.","Sono molto preoccupato."
"degrees of the octave scale","gradi della scala di ottava"
"This is a masterpiece.","Questo ä un capolavoro."
"pressing keys to stop holes","premendo i tasti per tappare i fori"
"a legendary hero","un leggendario eroe"
"Set origin","Imposta origine"
"an improvised recital of ","una recita improvvisata di "
" attack with "," attacco con "
"less anger-prone","meno incline alla rabbia"
"known loyal soldier","soldato leale conosciuto"
"Cleaning","Pulizia"
"Legendary thief","Ladro leggendario"
"Unprepared fish","Pesce non preparato"
"chews ","mastica "
"under","sotto"
"failed mood","umore fallito"
"Taken by mood","Preso dall'umore"
"several","diversi"
"Slaughter ","Macella "
"blacksmith shop (64,64,64)","negozio del forgiatore d'arnesi (64,64,64)"
" as the plot unfolded, "," mentre la trama si svolgeva, "
"Spatial Sense","Senso dello spazio"
" were"," erano"
"to make a concession","per fare una concessione"
"Delayed repeat","Ripetizione ritardata"
"Percussion Instrument","Strumento a percussione"
"addition of masterful spikes","aggiunta di punte magistrali"
"the sight of ","la vista di "
"drinking slime","bere melma"
"I am so nervous!","Sono cosç nervoso!"
"has a very broad body but it is frail","ha un corpo molto ampio ma ä fragile"
" mind about things"," idea sulle cose"
" and the chosen!  "," e il prescelto! "
"You are thinking about this all wrong.","Ci stai pensando in modo sbagliato."
"being unable to find a hammer","non riuscire a trovare un martello"
"Large instruments must be placed in taverns or temples before they will be used.  These instruments must be assembled at a workshop first.","Gli strumenti di grandi dimensioni vanno collocati in taverne o templi prima che si possano suonare.  Questi strumenti devono essere prima assemblati in una bottega."
"finds sacrifice to be the height of folly","trova che il sacrificio sia il massimo della follia"
"medicine:theory:surgical models","medicina:teoria:modelli chirurgici"
"quite clumsy","abbastanza maldestro"
"Surveying and War","Misurazione e Guerra"
"swamps","paludi"
"Your citizens will sleep in bedrooms.  It should include a bed!  Try to enclose it with walls and/or doors.  Do not overlap with other rooms.","I tuoi cittadini dormiranno nelle camere da letto.  Esse dovrebbero includere un letto!  Prova a racchiuderlo tra pareti e/o porte.  Non sovrapporla ad altre stanze."
"This worker is specialized and will only do tasks that match their workshop assignments, work details, and occupations.  Click to toggle.","Questo lavoratore ä specializzato e svolgerÖ solo compiti che corrispondono alle sue assegnazioni di bottega, dettagli di lavoro e occupazioni.  Clicca per alternare."
"the warded lock","la serratura a scatola"
"An animal was convicted of a crime.","Un animale ä stato condannato per un crimine."
"the struggle for survival among creatures","la lotta per la sopravvivenza tra le creature"
"Druid","Druido"
" a "," un/a "
"Undead attack","Attacco dei non morti"
"The musician cannot control the volume.  ","Il musicista non puï controllare il volume.  "
"the pit","la fossa"
"You are in a fey mood.","Sei di umore strano."
"No weapon","Nessuna arma"
"Saving work quotas...","Salvataggio quote lavoro..."
"Musicality","MusicalitÖ"
"left site","lasciato sito"
"finds the idea of laws abhorrent","trova ripugnante l'idea delle leggi"
"a special occasion","un'occasione speciale"
"Anybody that sticks to something a moment longer than they have to is an idiot.","Chi si attacca a qualcosa un attimo pió del dovuto ä un idiota."
"medicine:tool:herbal remedies","medicina:strumento:rimedi erboristici"
"I am now part of ","Ora faccio parte di "
"[C:5:0:1]Thirsty","[C:5:0:1]Assetato"
"Millstone","Mola"
"known ally","alleato conosciuto"
"Meager Quarters","Alloggi Miseri"
"stranger sneaking around","estraneo che si aggira furtivamente"
"a tavern","una locanda"
"charges","carichi"
"is a monument to concision","ä un monumento alla concisione"
"a lack of introspection for too long","una mancanza d'introspezione da troppo tempo"
"Long live the cause!","Lunga vita alla causa!"
"metal craft shop sign","insegna del negozio di lavorazioni in metallo"
"is tall and muscular","ä alto e muscoloso"
"emotionless","senza emozioni"
"games of chance","giochi d'azzardo"
"Megabeasts can attack","Megabestie possono attaccare"
" miss "," manchi "
"The fortress attracted no migrants this season.","La fortezza non ha attirato migranti in questa stagione."
"the concept of hunting","il concetto di caccia"
"iambic","giambico"
"Has a horrible fell look!","Ha un aspetto orribile e ostile!"
" created."," creato."
"Tantrum","Capriccio"
"Minecart routes","Percorsi Carrello da miniera"
"round-chinned","mento arrotondato"
"which contains ","che contiene "
"] etc. and","] etc. e"
"Last I heard, I had it.","L'ultima volta che ne ho sentito ce l'avevo io."
"I'm very patient.","Sono molto paziente."
"Very drowsy","Molto sonnolento"
"underground guilds (20,100,20)","gilde sotterranee (20,100,20)"
" surprised"," sorpreso"
" for their "," per il loro "
"Invader deconstruction speed (smaller = slower)","VelocitÖ di decostruzione dell'invasore (pió piccola = pió lenta)"
"We elves are partial in particular to the trees in the forests surrounding your lands.","Noi elfi siamo parziali in particolare per gli alberi delle foreste che circondano le vostre terre."
" passionate"," appassionato"
"Overview","Sommario"
", layer ",", strato "
"believes that it would be a fine thing if all time were leisure time","ritiene che sarebbe una bella cosa se tutto il tempo fosse tempo libero"
"Crossbow-making","Produzione di balestre"
"hung from a ","appeso a un "
"after an adoption","dopo un'adozione"
"sharing a personal insight with somebody","condividere l'intuizione personale con qualcuno"
"has a habit of tapping "," ha l'abitudine di picchiettare "
"What will you say about the site's foundation?","Cosa dirai riguardo alla fondazione del sito?"
"soap body part","insapona parte del corpo"
"is incredibly tall with strong muscles and some fat","ä incredibilmente alto con muscoli forti e un po' di grasso"
"Focused!","Concentrato!"
"is emotionally obsessive, forming life-long attachments even if they aren't reciprocated","ä emotivamente ossessivo, crea legami che durano tutta la vita anche se non vengono ricambiati"
"dusting","spolverata"
"Pit/pond","Fossa/stagno"
"accepts favors without developing a sense of obligation, preferring to act as the current situation demands","accetta favori senza sviluppare senso del dovere, preferendo agire in base alla situazione attuale"
"Axe Lord","Signore dell'Ascia"
" encourages it whenever possible"," lo incoraggia quando possibile"
"Failed to find vanilla bodies header.","Impossibile trovare intestazione corpi Vanilla."
"Theft","Furto"
" to present"," al presente"
"Not enough medium altitudes after shift up","Quote medie insufficienti dopo scostamento in alto"
"Operator assigned","Operatore assegnato"
"after practicing a martial art","dopo aver praticato arti marziali"
"the Prestige","il Prestigio"
"Suturer","Suturatore"
", but there is no force!",", ma non c'ä forza!"
"refraction","rifrazione"
"an iffy sense for music","un senso incerto per la musica"
"after acquiring something","dopo aver acquisito qualcosa"
"learned dance form","imparata forma di danza"
"the bizarre conviction against all reason of the victim of a crime","la bizzarra condanna contro ogni ragione della vittima di un reato"
"Reason","Motivo"
"Temperate Grassland","Prateria Temperata"
" after an insurrection"," dopo un'insurrezione"
"knowledge","conoscenza"
"the Elements","gli Elementi"
"difficulty with words and language","difficoltÖ con le parole e il linguaggio"
"naturalist:theory:comparative anatomy","naturalista:teoria:anatomia comparata"
"to make an apology","per scusarsi"
" fractured.  "," fratturato.  "
"There is a tomb","C'ä un sepolcro"
"Burial Receptacle","Recipiente per sepoltura"
"New legwear","Nuovi pantaloni"
"Mead hall","Sala dell'idromele"
"Noted monster","Noto mostro"
"a feel for music","ha sensibilitÖ per la musica"
"disease","malattia"
"Make metal bars from ore here.  Can also refine coal into usable fuel or make alloys.  Magma below the smelter will power tasks.  You are responsible for placing the smelter above the magma, but no other fuel is required.","Crea barre di metallo dal minerale grezzo qui.  Puoi anche raffinare il carbone in combustibile utilizzabile o creare leghe.  Il magma sotto la fonderia alimenta i compiti.  Sei responsabile di piazzare la fonderia sopra il magma, non ä necessario altro combustibile."
"chancellor","cancelliere"
"began hunting great beasts","ha iniziato a cacciare grandi bestie"
"doesn't have a preference between tranquility and tumult","non ha una preferenza tra tranquillitÖ e tumulto"
" roam freely out there."," vaga liberamente lÖ fuori."
" which grew out of the performances of "," che ä nato dalle esibizioni di "
"Go to Combat Training","Vai all'addestramento"
" official"," funzionario"
"a lack of trouble-making for too long","una mancanza di casino da troppo tempo"
"a wrestling competition","una gara di lotta"
"! marks the primary accent, ","! segna l'accento primario, "
"   * Destroys colony"," * Distrugge la colonia"
"You are wrestling.","Stai lottando."
" sick!"," malato!"
"Low Precision","Bassa precisione"
"Young ","Giovane "
"This is the performance menu.  Here you can initiate a poetry recital, tell a story, dance, sing, or play a musical instrument.  ","Questo ä il menó dello spettacolo. Qui si puï iniziare a recitare una poesia, raccontare una storia, ballare, cantare o suonare uno strumento musicale. "
"New bodywear","Nuova corazza"
"I'm really restless.","Sono davvero inquieto."
"held sway.","ha mantenuto il controllo."
"I am wearing old clothes.","Sto indossando vestiti vecchi"
"is a pessimist","ä un pessimista"
" natural tendencies"," tendenze naturali"
"is very large and just incredibly fat","ä molto grande e incredibilmente grasso"
" in charge of "," responsabile di "
"the Quadratic Formula","la Formula Quadratica"
"slightly upturned","leggermente rovesciato"
"engineering:machine:water-powered trip hammer","ingegneria:macchinario:maglio idraulico"
"has a broad body with very little fat","ha un corpo ampio con pochissimo grasso"
"Removing Stones","Rimozione delle Pietre"
"Harvest plants","Raccogli piante"
"the classification of bodily fluids","la classificazione dei fluidi corporei"
"As stated above, they are to be played in polymeter.  ","Come detto sopra, devono essere suonati in polimetro.  "
"Legendary intruder","Intruso leggendario"
"apprenticeship","apprendistato"
"rising","crescente"
"A smear of ","Una strisciata di "
"descends to a rant in places","in alcuni punti si riduce a un rantolo"
"spurning the value of cooperation","ignorando il valore della cooperazione"
"a horribly substandard dining room","una sala da pranzo orribilmente scadente"
"the Criminals","i Criminali"
"Scout","Ricognitore"
" being flayed by "," venendo scorticato da "
"Soldier","Soldato"
"There's absolutely nothing interesting around here.","Non c'ä assolutamente nulla di interessante qui intorno."
"hope","speranza"
"Shoot and throw","Spara e lancia"
"I am a prisoner of ","Sono prigioniero di "
"Peasant","Contadino"
"leader","capo"
"Economy trade trigger 5","Attivazione commercio economia 5"
"a story recital","una recita storica"
"methods for performing experiments systematically in the laboratory","metodi per eseguire esperimenti sistematici in laboratorio"
"is broad-bodied and very fat","ä corposo e molto grasso"
"Religious persecutor","Persecutore religioso"
"[C:3:0:1].Complete numbness","[C:3:0:1].Intorpidimento completo"
"the Diplomat","il Diplomatico"
" pulls out and "," tira fuori e "
"straight-lined","rettilineo"
"doing nothing creative for so long","facendo niente di creativo per cosç tanto tempo"
"Zoom out from the play area.","Riduci zoom area di gioco."
"Do they have a firm grip on these lands?","Hanno una presa salda su queste terre?"
" pipes.  "," tubi.  "
"That was a worthy hunt.","‘ stata una caccia degna di nota."
"the Faith","la Fede"
"How enjoyable!","Che piacere!"
" was conquered"," stato conquistato"
