"more presumptious","더 주제넘은"
"My sibling shared a personal insight with me.","내 형제는 나와 개인적인 통찰력을 공유했습니다."
"Water flows from the adjacent input tile","인접한 입력 타일에서 물이 흐릅니다."
"A mandate has ended.","물품 관련 규정 종료"
"after wandering","방황을 한 뒤에"
"Loading history...","기록 로드 중..."
"bulging","부푼"
"the underworld","지하 세계"
"because of a leadership change at the site","현장의 리더십 변경으로 인해"
"disdain advice","충고를 경멸하다"
"  The task is accomplished."," 작업이 완료되었습니다."
"How have things been?","상황이 어떻게 되었습니까?"
"dislikes helping others","남을 돕는 것을 싫어한다"
"Missing","실종"
"Magma forge","마그마 대장간"
"Assign a trainer to this creature.","이 생물에 트레이너를 지정하십시오."
"Saving coin information...","주화 정보 저장 중..."
"The poem has ","시에는 "
"I'm not feeling gloomy.","기분이 우울하지 않습니다."
"Winter","겨울"
"dictionaries","사전"
" regarding the conflict between "," 사이의 갈등에 대해 "
" bodies"," 몸"
"Decorum","예의"
"Remove current location assignment","현재 위치 할당 제거"
"I'm not feeling passionate.","열정이 느껴지지 않습니다."
"Disdains harmony","조화를 경멸함"
"Art?  More like wasted opportunity.","미술? "
"Criminal","범죄자"
"right around here","바로 여기"
"Glee!","기쁨!"
"A beast from the wilds has been harassing our people.","야생의 짐승이 우리 민족을 괴롭히고 있습니다."
"new grudge","새로운 원한"
" being abandoned"," 버려지고"
"deep material ","심층 재료 "
"You must build [C:6:0:0]Chests[C:7:0:0] or [C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Hospital[C:7:0:0] to store these items. ","이 아이템을 보관하려면 [C:6:0:0]상자[C:7:0:0] 또는 [C:6:0:0]보관함[C:7:0:0]을 [C:1:0:1]병원[C:7:0:0] 안에 건설해야 합니다. "
" (associated civilization)[R]"," (관련 문명)[R]"
"is very long and muscular","매우 길고 근육질이다"
"You can build staircases to connect different elevations.  Staircases must span at least two elevations.  Requires boulder, block, or wood.","계단을 만들어 높은 곳 혹은 낮은 곳을 연결할 수 있습니다. 계단은 각기 다른 층에 걸쳐 있어야 합니다. 바위, 벽돌 또는 목재가 필요합니다."
"Release other prisoners","다른 수감자 석방"
"cook","요리사"
"shrew","뾰족뒤쥐"
"bacchic","백식"
"Item inaccessible","항목에 액세스할 수 없음"
"Seek Heist Master","하이스트 마스터 찾기"
"believes the idea of war is utterly repellent and would have peace at all costs","전쟁을 혐오하며 평화를 위해서는 어떤 대가든지 치를 것이라고 믿는다."
"The Dirt","흙"
"to fill a role as a mercenary","용병의 역할을 채우기 위해"
"the counterpoint of the","의 대위법"
"Diseases","질병"
" guild"," 길드"
"poetry","시"
"engineering:astronomy:astrolabe","공학:천문학:아스트롤라베"
" Year"," 년도"
" crucified "," 십자가형 "
"Don't talk to me.","나에게 말하지 마십시오."
"Process plants (barrel)","작물 가공 (통)"
" X-Variance"," X-분산"
"Store item in vehicle","차량에 물품 보관"
"impalement on ","에 찔림 "
"There are no merchants present with which to trade.","거래할 상인이 없습니다."
"medicine:theory:epidemic disease","의학:이론:전염병"
" string by stopping it against the body.  "," 몸에 대고 멈추어 끈. "
"the heliocentric model","태양 중심 모델"
"the joining of ","의 결합 "
"I just don't care anymore...","난 그냥 더 이상 상관 없어 ..."
"the Shape of the World","세상의 모양"
"greed","탐욕"
"gambling of ","도박 "
"unit-","단위-"
"a proof that there are infinitely many prime numbers","소수가 무한히 많다는 증거"
"more sensitive","더 민감한"
"a jealous grudge, ","질투어린 원한, "
"Flights of fancy","공상적"
"to be rapidly losing patience","빨리 인내심을 잃어"
"horror","공포"
"Entrance","입구"
"Blood Vessels","혈관"
"I don't feel restless.","불안하지 않습니다."
" adjust"," 몸을 조정했다"
"A marauding warband is threatening our people.","약탈하는 부대가 우리 백성을 위협하고 있습니다."
"This ornamental construction can enhance the value of rooms.  A window object must be made at a glass furnace before it can be placed.","구조물을 장식하면서 방의 가치와 미관을 향상시킬 수 있습니다. 설치하려면 먼저 유리 용광로에서 만들어야 합니다."
"Quick to give up","포기가 빠름"
" regain"," 되찾다"
" lock"," 붙잡았다"
"We have unleashed the echo of a forgotten divine retribution!","우리는 잊혀진 신성한 보복의 메아리를 불러일으켰습니다!"
"(no mat1)","(매트1 없음)"
" (location no longer in zone)"," (위치가 더 이상 영역에 없음)"
"the embriological development of creatures","생물의 발생학적 발달"
"tanned hide","무두질한 가죽"
"With a band so large, what share of the glory would I have?","밴드가 이렇게 큰데 내가 가진 영광이 얼마나 되겠습니까?"
"somewhat quarrelsome","다소 다투다"
"the construction and use of the parabolic mirror","파라볼릭 미러의 구성 및 사용"
"an amazing spatial sense","놀라운 공간감각"
"raw... clear","원시... 투명한"
"Minimum Number of Mid-Drainage Squares","중간 배수 사각형의 최소 수"
"chemistry:laboratory:glass retort","화학:실험실:유리 레토르트"
"condense","응축하다"
"Avoid fights","싸움을 피함"
"pressed amber","눌러진 호박색"
" forth an awe-inspiring sermon for the ages!"," 대대로 경외심을 불러일으키는 설교를 시작하라!"
"decorum","예의"
"Cart","카트"
"Store item in barrel","배럴에 항목 저장"
"Malachite","공작석"
"arpeggios","아르페지오"
"combat drills","전투 훈련"
"the ","그 "
"add button to assign the [C:2:0:0]Animals[C:7:0:0].","버튼을 추가하여 [C:2:0:0]동물[C:7:0:0]을 할당합니다."
" but did not reveal everything"," 그러나 모든 것을 밝히지는 않았다"
"I have become a parent","나는 부모가 되었다"
"Don't try to throw your weight around.","주위에 체중을 던지려고하지 마십시오."
"pyramids","피라미드"
"Truly.","진심으로."
"baronesses","남작부인"
"--- Logging Creature ","--- 로깅 생물 "
"holds fairness as one of the highest ideals and despises cheating of any kind","가장 높은 이상 중 하나로 공정성을 유지하고 어떤 종류의 부정행위도 경멸합니다."
"the attack on ","에 대한 공격 "
"leatherworker","가죽 세공사"
" wind instrument"," 관악기"
"a petition for a temple for ","성전 청원서 "
"Thick","많음"
"(Cavern soil","(동굴 흙"
"push","푸시"
"Writing materials include paper and parchment sheets.","쓰기 재료에는 종이와 양피지가 포함됩니다."
"sees the pursuit of good ","선을 추구하는 것을 본다 "
"Sleep/room at will","마음대로 취침/방"
"mountains","산들"
" a good crack when "," 때 좋은 균열 "
"Melancholy","우울"
"Some locations are challenging even for experienced players, and it will be a very short game indeed if you don't know how to deal with them!","일부 위치는 숙련된 플레이어에게도 도전적이며, 대처 방법을 모르면 매우 짧은 게임이 될 것입니다!"
"map accuracy","지도 정확도"
"noted protector of the weak","저명한 보호자"
"finds the pursuit of knowledge to be a waste of effort","지식을 추구하는 것은 노력의 낭비라고 생각합니다."
"Toggle whether workshops can source materials from outside the burrow.","작업장이 굴 외부에서 재료를 조달할 수 있는지 여부를 전환합니다."
"Closing file...","파일을 닫는 중..."
" been "," 계속 ~ 이다 "
"came to desire to bathe the world in chaos","혼돈으로 세상을 목욕시키려는 욕망에 이르렀다"
" concluded with "," 결론 "
"Deceit","책략"
"Workers ignore outdoor vermin remains","작업자는 야외 해충 잔해를 무시합니다."
"the vial","작은 병"
"That was frightening.","그것은 무서웠다."
"No one even considered making the journey to such a miserable hellhole this season.","그 누구도 이번 계절에 이 비참한 지옥구덩이속으로 여정을 떠나는 것을 고려하지 않았습니다."
"a former prisoner of","의 전 포로"
" dislikes the adoration of fighting as an art to be refined"," 세련되어야 할 예술로서의 싸움의 숭배를 싫어합니다."
"the Surrender","항복"
"no shoes","신발 없음"
"as a symbol of authority within ","권위의 상징으로 "
"official meeting in dining room","식당에서 공식 회의"
"a caravan from ","캐러밴 "
"Things usually don't work out","일이 보통 잘 풀리지 않는다"
"Economy production trigger 3","경제 생산 트리거 3"
"compelled the creation of","의 창조를 강요했다"
"surveying","측량"
"entertain people","사람들을 즐겁게"
"I despair at this!","나는 이것에 절망한다!"
"squeaky-voiced","삐걱거리는 소리"
"was drowned","익사했다"
"famous dancer","유명한 춤꾼"
"This creature is assigned to a work detail.","이 생물은 작업 세부 사항에 할당됩니다."
"Werebeasts can attack","웨어비스트가 공격할 수 있습니다."
"the Verse","구절"
"This mission cannot be altered now.","이 임무는 지금 변경할 수 없습니다."
"  Best keep your head down."," 머리를 숙이는 것이 가장 좋습니다."
"Horrors!  Demons in the deep!","신이시여! 저 악마들에게서 우리를 지키소서!"
"an unknown building","알려지지 않은 건물"
"Frightened","겁먹은"
"You are melting!","녹고 있다!"
"mid-size stationary","중간 크기 고정"
"has a large body and is very fat","몸집이 크고 뚱뚱하다."
"after practicing a skill","기술을 연습한 뒤에"
" strike at "," 공격하다 "
"rewarding","보람"
"medicine:tool:animal remedies","약:도구:동물 치료제"
" commissioners"," 위원"
"I feel resentful.","분개합니다."
"Not set to fertilize","비료로 설정되지 않음"
"only son","외아들"
"Practice","연습"
" slipping out of "," 에서 미끄러지다 "
"Legendary preserver of the knowledge","전설적인 지식 보존자"
" from paternal grandfather"," from 친할아버지"
"began wandering","방황하기 시작했다"
"Protector of the weak","보호자"
"Desired Evil Square Count in Small Subregions","소구역의 원하는 악의 제곱 수"
"a few hours ago","몇 시간 전에"
"Wax Worker","왁스 작업자"
"Corrupt Soldier Mood: ","부패한 병사 기분: "
"I could not find a priest to comfort me.","나를 위로해 줄 신부를 찾을 수 없었다."
"shield","방패"
"Finalizing inorganics...","무기물 마무리 중..."
"the army of ","의 군대 "
"silence","고요"
" amulet"," 부적"
"square of pillars","기둥의 광장"
"heavy","무거운"
"Set tree chopping orders.  Select the base of the tree so that the woodcutter can reach it.  Assign a woodcutter to the work detail if necessary.  The woodcutter requires an axe.","벌목 명령을 설정합니다. 나무꾼이 닿을 수 있도록 나무 밑을 선택합니다. 필요한 경우 작업 세부사항에 나무꾼을 지정합니다. 나무꾼은 도끼를 필요로 합니다."
"the Steps","단계들"
"the differential gear","차동 기어"
" synthesis"," 합성"
"a great sense of empathy","공감을 엄청 잘한다"
"Set from which workshops and stockpiles this stockpile gives and takes items.","이 저장구역이 어떤 작업장과 다른 저장구역에서 물건을 주고 받을건지 설정합니다."
"Popup: Work details","팝업: 작업 세부 정보"
"dislikes obligations and will try to avoid being bound by them","의무를 싫어하고 그들에게 구속되는 것을 피하려고 노력할 것입니다."
"afraid to die","죽는 것을 두려워"
"of the poem","시의"
" is stumbling around obliviously!"," 무의식적으로 비틀거린다!"
"a very good setting","아주 좋은 설정"
"tends to stretch ","늘어나는 경향이 있다 "
"A legend?  Here?  I can scarcely believe it.  ","전설? "
"  Knowing no mercy, "," 자비를 모르고, "
"Some laws are just, while others were made to be broken.","어떤 법은 정당하지만 다른 법은 어기도록 만들어졌습니다."
" stand is used to support the instrument.]"," 스탠드는 악기를 지지하는 데 사용됩니다.]"
"Prepare using a saved embark profile:","저장된 정착 프로필을 사용하여 준비합니다:"
"has a long, thin frame hidden beneath copious rolls of lard","많은 라드 롤 아래에 길고 얇은 프레임이 숨겨져 있습니다."
" through force of argument"," 논쟁의 힘을 통해"
" (V Rusty)"," (크게 녹슮)"
"figurine","인형"
"[C:3:0:1].Paralysis","[C:3:0:1].마비"
"rumored enemy","소문난 적"
"fish","물고기"
"a legendary quarreler","전설적인 싸움꾼"
"Childhood friend","소꿉친구"
"Died in the dark","어둠 속에서 죽었다"
"choking on dust underground","지하 먼지에 질식"
"Calm yourself!","진정하다!"
"Ice Track (W)","아이스 트랙(W)"
"Dig only ore and gems selected, and automine any ore and gems of the same type which are uncovered.","선택한 광석과 보석만 파내고 발견된 동일한 유형의 광석과 보석을 자동화합니다."
"failure to get end square construction for transport link","전송 링크의 끝 사각형 구성 실패"
"is slow to trust others","다른 사람들을 신뢰하는 것이 느리다."
"eighteen","열여덟"
"Sudden Attacks","갑작스런 공격"
"[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  Greetings from the woodlands.  We have much to discuss.","[C:VAR:MEETING:ACTOR][VAR:NATIVENAME:MEETING:ACTOR]:  나무의 땅에서 인사를 드립니다. 나눠야 할 이야기가 참 많습니다."
"metal ","금속 "
"smear","도말 표본"
"Workers gather outdoor vermin remains","노동자들은 야외 해충 유해를 수집"
"meat cleaving","고기 쪼개기"
"requesting weapon production","무기 생산 요청"
"fish cleaner","어류 가공업자"
"a violent ghost","난폭한 유령"
"the murder of ","의 살인 "
"I have so many regrets...","아쉬움이 너무 많아요..."
"deep-voiced","깊은 목소리의"
"bone carver shop (128,255,255)","뼈 조각가 가게 (128,255,255)"
"sometimes acts with little determination and confidence","때로는 작은 결심과 자신감으로 행동한다."
"rumored treasure hunter","소문이 있는 보물 사냥꾼"
"Seeking artifact","유물 찾기"
"kicked out of squad","스쿼드에서 쫓겨남"
": No tissue thickness",": 조직 두께 없음"
"altruism","애타 주의"
"'s thinking hard, ","열심히 생각하고, "
" sound-chest of the instrument vibrates with the strings, producing sound.]"," 현과 함께 악기의 울림통이 진동하면서 소리가 납니다.]"
"extremely wrinkled","극도로 주름진"
"Metals","궤조"
"A highly-organized military order is threatening our people.","고도로 조직된 군사 질서가 우리 국민을 위협하고 있습니다."
"Restarts if completed, checked daily","완료되면 다시 시작, 매일 확인"
"has an overbearing personality","위압적 인 성격을 가지고있다."
" become friends over a shared love of athletics"," 운동에 대한 사랑을 나누며 친구가 되다"
"A ferocious wild animal has been set on us by nature.","사나운 야생 동물은 본질적으로 우리에게 설정되었습니다."
"an algorithm for computing the greatest common divisor of two numbers","두 숫자의 최대 공약수를 계산하는 알고리즘"
"The well is operational.","우물이 가동 중입니다."
"Finish placing zones.","영역 배치를 완료합니다."
"Their strength has been broken.","그들의 힘은 부서졌습니다."
"defeating somebody","누군가를 패배"
"The melody has ","멜로디는 "
" has drifted nearby!"," 의 구름이 근처에 떠다닌다!"
"I am not mortified.","나는 괴로워하지 않습니다."
" open."," 열려 있는."
"Available Items","사용 가능한 항목"
"ceased to be a ","더 이상 "
"Hard work is great.  Finding a way to work half as hard is even better.","열심히 일하는 것은 훌륭하다. 절반의 노력으로 일할 수 있는 방법을 찾는 것은 훨씬 더 훌륭하다."
"finds the ideas of independence and freedom somewhat foolish","독립과 자유에 대한 생각이 다소 어리석다고 생각합니다."
"Zones","작업 구역"
"nearly a day's travel","거의 하루 거리"
"Cancel removal","제거 취소"
"relative expelled","친척 추방"
"I feel empty.","속이 텅 비어있는 느낌이다."
"had a gated courtyard added to","문이 있는 안뜰이 추가되었습니다."
" jealousy"," 질투"
"Related to site","사이트 관련"
"played for sympathy","동정을 위해 연주"
"engraving ","조각하는 "
"that more might be murdered","더 많이 살해당할지도 모른다"
" originally devised by "," 원래 고안한 "
" of the theme"," 주제"
"a very good sense of empathy","공감 능력이 매우 좋다"
"Save to new timeline","새 타임라인에 저장"
"shakes ","쉐이크 "
"a house","집"
" is an example of "," 의 예입니다 "
"by the manager before they become","그들이되기 전에 관리자에 의해"
"has an incredibly thin body with little fat","지방이 적고 믿을 수 없을 정도로 얇은 몸매를 가지고 있습니다."
" gets annoyed"," 짜증이 난다"
"pulmonary circulation","폐순환"
"existence","존재"
"a turn-around ","역전 "
"This item is bait.","이 항목은 미끼입니다."
"I guess it could be considered grimly satisfying.","잔인한 만족감이라고 할 수 있을 것 같아요."
"You must be convinced.","확신이 있어야 합니다."
" was sent to "," 보내졌다 "
"Something evil is emerging from this newly exposed pocket!","새롭게 노출된 이 주머니에서 뭔가 사악한 것이 나타나고 있습니다!"
"Make raw ","날것으로 만들기 "
"I'm dejected.","나는 낙담했다."
"The creative impulse is so valuable.","창의적인 충동은 매우 소중합니다."
"Cumulonimbus (rain)","적란운 (비)"
"Seek Manage Office","관리사무소 찾기"
"in order to maintain balance in the universe","우주의 균형을 유지하기 위해"
"Your fortress has settled into the rhythm of day-to-day living, beyond your meticulous concern.","당신의 세심한 걱정에도 불구하고 요새는 일상적인 생활과 함꼐 정착했습니다."
"is an absolute believer in the rule of law","법의 지배를 절대적으로 믿는 사람이다."
"concave","오목한"
"no one can deny your genius!","아무도 당신의 천재성을 부정할 수 없습니다!"
"the sacrilegious","신성 모독적인"
"squad","분대"
"the Settlement","합의"
"Toys","장난감"
"seeing a stranger sneaking around","은신한 침입자 발견"
"[C:6:0:1]Fertilizer[C:7:0:0] is not needed to farm.","[C:6:0:1]비료[C:7:0:0]는 농사에 필요하지 않습니다."
"Given name","이름"
"Uninvited Guest","불청객"
"apathetic","냉담한"
"Place Holders","자리 표시자"
"Werebeast Attack Exported Wealth Rating","Werebeast Attack 수출 자산 등급"
"a really bad memory","형편없는 기억력"
"Philosopher","철학자"
"Existence","존재"
"The overall text emphasizes ","전체 텍스트는 강조 "
"Guard tax collector","경비 세리"
"You know of no appropriate stones.","적절한 돌이 없다는 것을 알고 있습니다."
"enraptured","황홀"
"is very stubborn","매우 고집 스럽다."
"jamming the","방해한다"
" The "," 그만큼 "
"Remove this stop.","이 정류장을 제거하십시오."
"rings","반지"
"silently ","아무 말 않고 "
"admire arranged building","배치 된 건물에 감탄"
"doesn't feel ","은/는 느끼지 않는다 "
"Shape","모양"
"I won't go down without a fight!","나는 싸우지 않고는 내려가지 않을 것이다!"
"by preserving part of body","신체 일부를 보존함으로써"
"Wrestling","레슬링"
"doyennes","노년"
"Fertilize field","밭에 기름지게 하다"
"lamination","라미네이션"
"Your efforts are legend there.  Let us trade!","당신의 노력은 전설입니다. "
"I wish to become a ","나는 되고 싶다 "
"renderable ","렌더링 가능 "
"the Tavern","선술집"
"No automatic web collection","자동 웹 수집 없음"
"Too sad","너무 슬퍼"
"Locations can be created from zones.","구역에서 위치를 작성할 수 있습니다."
"this keep","이 유지"
"psycho","싸이코"
"philosophy:logic:formal reasoning","철학:논리:형식적 추론"
"Cage ","새장 "
"the Nerves","신경"
"is corpulent","뚱뚱하다"
"with a touch of","터치로"
"You can't take me alive!","날 산 채로 데려갈 수 없어!"
" met with "," 함께 만났다 "
"talks very quickly when ","아주 빨리 말할 때 "
"more altruistic","더 이타적이다"
"is adorned with hanging rings of ","매달린 고리로 장식되어 있습니다. "
"I drank slime.","나는 슬라임을 마셨다."
"It is good to be outdoors.","야외에 있는 것이 좋습니다."
"This type is allowed to be cooked.","이 유형은 요리가 허용됩니다."
"Light and Color","빛과 색"
"I shared a personal insight with my sibling.","개인적인 통찰을 동생과 나누었습니다."
"Artistically inclined","예술적인 성향"
"opossum","주머니쥐"
"has a tall, thin frame with very little fat on it","키가 크고 얇은 체격에 지방이 거의 없습니다."
"Choose origin civilization","기원 문명 선택"
"metal furniture shop sign","금속 가구점 간판"
" Track (NSE)"," 추적(NSE)"
"Smoothing rough floors and walls","거친 바닥 및 벽 다듬기"
"Owner: ","소유자: "
"the Castle","그 성"
"stop holes","정지 구멍"
"just","단지"
"Diplomat / ","외교관 / "
"ate vermin while starving","굶으면서 해충을 먹었다"
" concerning","...에 관하여"
"the dungeon","던전"
"Saving armies...","군대 저장 중..."
" timbre.  "," 음색. "
"View the positions in this squad.","이 분대의 위치를 본다."
"hanging","교수형"
"thin","얇은"
"to bring peace to the world","세상에 평화를 가져오기 위해"
"Encyclopedia","백과 사전"
"alkali and acids","알칼리 및 산"
"created a masterful illustration","멋진 일러스트레이션을 만들었습니다"
"a corpse","시체"
"tooth","이빨"
"Loading object files...","개체 파일 로딩 중..."
"has a sense of duty","의무감이있다."
"Minerals and Maps","광물 및 지도"
"Nearly a day's travel","거의 하루의 여행"
"boundaries","경계"
"The Fool","바보"
"Flat/rough areas not evenly distributed: ","고르게 분포되지 않은 평평한/거친 영역: "
"Metal Crafter","금속 공예가"
" family heirloom"," 가족 가보"
" include a "," 포함 "
"An office or study is required for certain official tasks, such as approving work orders and bookkeeping.  A chair or throne is required for these functions.","사무실은 업무지시서 승인이나 경리 작업과 같은 특정한 공식적인 업무에 필요합니다. 이러한 기능에는 의자나 왕좌가 필요합니다."
"Have no fear.","두려워하지 마십시오."
"official meeting without room","자리 없는 공식 회의"
"I cannot just stand by.","나는 그냥 서있을 수 없습니다."
"I don't work here.","나는 여기서 일하지 않는다."
"Leather Works","가죽 세공"
"Final ocean region count fails by ","최종 해양 지역 카운트(count)는 다음에 의해 실패: "
"Values romance","로맨스를 중요시함"
"after being unable to practice a martial art","무술을 연습할 수 없게 된 뒤에"
"to","에게"
"There aren't enough dining tables.","식탁이 부족합니다."
"Accuses: ","고발: "
"Stone Engraving","돌 조각"
"Tactics","전술"
" to remove "," 치우려고 "
"Missions","임무"
"Let there be peace throughout the world.","온 세상에 평화가 있게 하소서."
"News and rumors","뉴스와 소문"
"Bone Carving Workshop","뼈 조각 작업장"
"grieves","비통스럽다"
"leadership overthrown","전복된 리더십"
"Animal Courtship","동물 구애"
"You won't perform your action if you leave.","떠나면 작업을 수행하지 않습니다."
"ballista parts","발리스타 부품"
"have attained a general familiarity with ","에 대해 일반적으로 친숙해졌습니다. "
"I want to see a great beast.","나는 거대한 짐승을 보고 싶다."
"Zoom Out","화면 축소"
" and "," 그리고 "
"My father shared a personal insight with me.","아버지는 개인적인 통찰을 저와 공유하셨습니다."
"deftly ","능숙하게 "
"is thin and weak","가늘고 약하다"
"Log world generation map rejects","로그 세계 생성 맵 거부"
"Mud is left by water","진흙은 물에 의해 남겨진다"
" vapor"," 증기"
"the loss of a hist fig entry","히스트 무화과 항목의 손실"
"Traction Bench","의료용 벤치"
"the Denial","거부"
"Overall, the poetry is not awful, but not very good either","전반적으로 시는 끔찍하지는 않지만 좋지도 않습니다."
"a procession","행렬"
"This creature is a monster slayer.","이 생물은 몬스터 슬레이어입니다."
" has gone berserk!"," 미쳤다!"
"by pushing together","함께 밀어서"
"Gambling","도박"
"Overall, the prose is splendid","전체적으로 서체가 훌륭하다."
"I ate a meal.","나는 식사를 했다."
"waterfall mist","폭포 안개"
"the use of models and templates in engineering","엔지니어링에서 모델 및 템플릿 사용"
"Loading art forms...","미술 형태 불러오는 중..."
"Weaponsmithing","무기 제작"
"citizenship petition accepted","시민권 청원 접수"
"Prefix","접두사"
"the Straight-Beam Balance","직선 빔 균형"
"Metalsmith","금속장인"
"the Numbers","숫자들"
"Skill 9","스킬 9"
"eating without chair","의자 없이 먹기"
"Rope/chain","밧줄/사슬"
"Alcohol, good food, and personal rooms go a long way. ","술, 맛있는 음식, 개인 공간은 큰 도움이 됩니다. "
"Untitled","무제"
"the Uprising","봉기"
"Enemies:","적:"
" equipment by "," 장비 "
"Complaints","불만"
"Thread (Desired): ","스레드(원함): "
"Megabeast attack period (seasons)","거대짐승 공격 기간(계절)"
"[C:6:0:1]Meat[C:7:0:0] from [C:2:0:0]Livestock[C:7:0:0] you slaughter is a source of food. ","[C:6:0:1]도축한 [C:2:0:0]가축[C:7:0:0]의 고기[C:7:0:0]는 식량의 원천이 됩니다. "
"This option allows long-term residents of the fortress to enter this location.","이 옵션을 선택하면 요새의 장기 거주자가 이 위치에 들어갈 수 있습니다."
"Certain livestock need to graze on grass.  Assign these animals to a pasture zone.  No fencing is needed.","어떤 가축들은 풀을 뜯어야 합니다. 이 동물들을 목초지에 지정하세요. 울타리는 필요 없습니다."
"Axeman","도끼병"
"war animal","전쟁 동물"
"popularly-supported creation","대중적으로 지원되는 창작물"
"coffins","관"
"kicks","킥"
"high ","높은 "
"holds shrewd and crafty individuals in the lowest esteem","슬기롭고 교활한 개인을 가장 낮은 평가로 받아들입니다."
"negative ","부정적인 "
" throw"," 던졌다"
"I don't handle pressure well.","나는 압박감에 잘 대처하지 못한다."
"an unknown civilization","미지의 문명"
"It was snowing on me.","나에게 눈이 내리고 있었다."
"pressed ash","압축 재"
"chemistry:classification:combustibles","화학:분류:가연성 물질"
"Steal livestock","가축을 훔침"
"cage","케이지"
"older half-sister","이복 누이"
"  ""I'll live to fight another day!"""," 난 하루종일도 싸울 수 있어!"
"the Primes","프라임"
"is bashful","부끄럽다"
"is short","짧은"
"Loner","외톨이"
"Temperate Saltwater Lake","온대 바닷물 호수"
"I love solemn poetry.","나는 엄숙한 시를 좋아합니다."
" along with smaller sacred sites"," 작은 성지와 함께"
" here"," 여기"
"ammo ","탄약 "
"Dynamism","활력"
"Things are going to happen.","일이 일어날 것입니다."
"A hundred or more people were expelled","100명이 넘는 사람들이 추방당했습니다."
"is stout and incredibly muscular","튼튼하고 믿을 수 없을 정도로 근육질입니다"
" voice"," 목소리"
"View monthly schedule","월간 일정 보기"
"the attack by ","에 의한 공격 "
"Get Written Content","서면 콘텐츠 가져오기"
"surgical needles","수술용 바늘"
"the Failure","실패"
" unrolled a brilliant tactical plan"," 화려한 전술 계획을 펼치다"
"values artwork","예술 작품을 소중히 여긴다"
"holds the maintenance of tradition as one of the highest ideals","최고의 이상 중 하나로서 전통의 유지를 유지"
"as scouts ","스카우트로 "
"freezing water","어는 물"
"sage","세이지"
"Toggle whether this creature will receive hunting training.  Hunting animals can move stealthfully during hunts.","이 생물이 사냥 훈련을 받을지 여부를 전환합니다. 사냥하는 동물들은 사냥하는 동안 조용히 움직일 수 있습니다."
"the Model","모델"
"Clay Collection","클레이 컬렉션"
"Unnamed dungeon","이름 없는 감옥"
"Name this stop.","이 정류장의 이름을 지정하십시오."
"sluggish","부진한"
"I cannot, for I am on an important journey.","나는 중요한 여행을 하고 있기 때문에 할 수 없습니다."
"Kill","죽이다"
"[C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Tavern[C:7:0:0].  Optionally you can place [C:6:0:0]Tables[C:7:0:0] and [C:6:0:0]Chairs[C:7:0:0] where your residents can eat. ","이 아이템들은 선술집 내부의 상자나 보관함에 보관해야 합니다. 
선택 사항으로 주민들이 식사할 수 있는 [C:6:0:0]테이블[C:7:0:0]과 [C:6:0:0]의자[C:7:0:0]를 배치할 수 있습니다. "
"Minimum Number of High-Savagery Squares","High-Savagery Square의 최소 수"
"Show elevation","고도 표시"
"No item","항목 없음"
"A moaning spirit returned from the dead.  It will generally trouble one unfortunate at a time.","이승에서 돌아온 영혼이다. 아마 불행한 자들을 하나씩 괴롭힐 것이다."
"Water source vanished","수원이 사라졌다"
"Loading cultural identities...","문화적 정체성 로드 중..."
" Downward Track (NS)"," 하향 트랙(NS)"
"second ","두 번째 "
"suffering","고통받는"
"Citizens are restricted by using their [C:5:0:1]Specialization[C:7:0:0] button. ","시민은 [C:5:0:1]전문화[C:7:0:0] 버튼 조작으로 활동 제한을 받습니다. "
" and can also "," 그리고 또한 할 수 있습니다 "
" and went into debt"," 그리고 빚을 졌다."
"No Tomb","무덤 없음"
"this dungeon","이 던전"
" has claimed a "," 주장했다 "
"performance","성능"
"Age of Legends","전설의 시대"
"resumes the previous tempo","이전 템포를 다시 시작합니다."
"keeps ","유지하다 "
"Camshafts","캠축"
"a known brigand","알려진 산적"
"Art is life.","예술은 삶입니다."
"Seek Suture Thread","봉합사 찾기"
"the Ransom","몸값"
"A beast from underground has been assailing us.","지하에서 온 짐승이 우리를 공격하고 있습니다."
"learned interaction","학습된 상호 작용"
"noted treasure hunter","저명한 보물 사냥꾼"
"the claiming of ","의 주장 "
"a historical figure","역사적 인물"
"failed to load conflict report incident","충돌 보고서 문제를 로드하지 못했습니다."
" has begun a mysterious construction!"," 신비한 공사가 시작되었습니다!"
"Owned","소유"
"Downward Slope","하향 경사"
"nomadic ","유목민 "
"the rhythm of the","의 리듬"
"trade partner","무역 파트너"
"water pool","수영장"
"after meditation","명상을 하고 난 뒤에"
" with a positive outcome"," 긍정적인 결과로"
"Resolution:","해상도:"
"start a family","가족을 구성하다"
"begins to talk rapidly when ","때 빠르게 말하기 시작합니다. "
"powers fought their final battles.","권력자들은 마지막 전투를 치렀다."
"an abduction","납치"
"the Object","그 물체"
"philosophy:epistemology:perception","철학:인식론:지각"
"Crushed by a drawbridge","도개교에 의해 짓 눌린"
"suffered major injury","큰 부상을 입었다"
"Clay","점토"
"force","힘"
"Preparing map...","지도 준비 중..."
"is fat and incredibly short","뚱뚱하고 엄청나게 짧다"
"Agreed in year ","연도에 합의 "
