"major","comandante"
"Army Walk","Ruta"
"Seek Ladder to Climb","Buscar Escalera para Escalar"
"Seek Ladder to Move","Buscar Escalera para Mover"
"Place Ladder","Poner Escalera"
"Prayer","Plegaria"
"Make Believe","Imaginaci¢n"
"Play with Toy","Juega con Juguete"
"Ponder Topic","Reflexionar Tema"
"Fill Service Order","Llene la Orden de Servicio"
"Get Written Content","Obtener Contenido Escrito"
"Go to Reading Place","Ir a Lugar de Lectura"
"Get Writing Materials","Obtenga Materiales de Escritura"
"Go to Writing Place","Ir a Lugar de Escritura"
"Grab Instrument","Coger Instrumento"
"Grab Toy","Coger Jugete"
"Store Object","Objeto de la Tienda"
"Leave Site for Squad Order","Abandonar el sitio por orden del escuadr¢n"
"Parley Unit","unidad de negociaci¢n"
"Parley Item","art¡culo de conversaci¢n"
"Follow Command","Seguir comando"
"Seek Heist Item","Buscar art¡culo del atraco"
"Seek Heist Master","Busca al maestro del atraco"
"Seek Heist Handoff","Buscar traspaso de robo"
"agriculture","agricultura"
"animals","animales"
"art","arte"
"balance","equilibrado"
"beauty","bello"
"birth","parto"
"blight","plaga"
"boundaries","l¡mites"
"caverns","cavernas"
"chaos","caos"
"charity","caridad"
"children","ni¤o"
"coasts","costas"
"consolation","consolaci¢n"
"courage","valiente"
"creation","creaci¢n"
"darkness","oscuridad"
"deformity","deformidad"
"depravity","depravaci¢n"
"discipline","disciplina"
"disease","enfermedad"
"dusk","oscuridad"
"fame","fama"
"fate","destino"
"fertility","fertilidad"
"festivals","festivales"
"fire","fuego"
"fish","Pescado"
"fishing","Pesca"
"food","Comida"
"forgiveness","piedad"
"fortresses","Fortaleza"
"freedom","libertad"
"gambling","juego"
"games","juegos"
"generosity","generosidad"
"healing","curaci¢n"
"hospitality","hospitalidad"
"hunting","cazando"
"inspiration","inspiraci¢n"
"jealousy","celoso"
"jewels","joyas"
"justice","justicia"
"lakes","lagos"
"laws","leyes"
"lies","mentiras"
"lightning","rayo"
"longevity","longevidad"
"luck","suerte"
"marriage","matrimonio"
"mercy","piedad"
"metals","metales"
"minerals","Minerales"
"mist","niebla"
"muck","esti‚rcol"
"nightmares","pesadillas"
"oaths","juramentos"
"oceans","oc‚anos"
"painting","cuadro"
"persuasion","persuasi¢n"
"plants","plantas"
"pregnancy","embarazada"
"rain","lluvia"
"rainbows","arco¡ris"
"rebirth","renacer"
"revelry","rebelde"
"revenge","venganza"
"rivers","r¡os"
"rulership","regencia"
"rumors","rumores"
"salt","sal"
"scholarship","beca"
"seasons","temporadas"
"silence","silencio"
"speech","discurso"
"stars","estrellas"
"storms","tormentas"
"suicide","suicidio"
"sun","sol"
"thralldom","esclavitud"
"thunder","trueno"
"travelers","viajeros"
"treachery","traici¢n"
"trees","Arboles"
"trickery","enga¤o"
"twilight","crep£sculo"
"valor","coraje"
"victory","victoria"
"volcanos","volcanes"
"wealth","riqueza"
"wind","viento"
"wisdom","sabidur¡a"
"youth","juventud"
"no sphere","No esfera"
"the theory and methods involved in distillation","la teor¡a y m‚todos involucrados en la destilaci¢n"
"an ","un "
"wives","mujeres"
"eldest son","primog‚nito"
"second eldest son","segundo hijo"
"third eldest son","tercer hijo"
"fourth eldest son","cuarto hijo"
"fifth eldest son","quinto hijo"
"sixth eldest son","sexto hijo"
"seventh eldest son","septimo hijo"
"eighth eldest son","octavo hijo"
"ninth eldest son","noveno hijo"
"tenth eldest son","d‚cimo hijo"
"youngest son","benjam¡n"
"only son","hijo £nico"
"eldest daughter","primog‚nita"
"second eldest daughter","segunda hija"
"third eldest daughter","tercera hija"
"fourth eldest daughter","cuarta hija"
"fifth eldest daughter","quinta hija"
"sixth eldest daughter","sexta hija"
"seventh eldest daughter","s‚ptima hija"
"eighth eldest daughter","octava hija"
"ninth eldest daughter","novena hija"
"tenth eldest daughter","d‚cima hija"
"only daughter","hija £nica"
"youngest daughter","hija menor"
"eldest child","hijo mayor"
"second eldest child","segundo hijo mayor"
"third eldest child","tercer hijo mayor"
"fourth eldest child","cuarto hijo"
"fifth eldest child","quinto hijo"
"sixth eldest child","sexto hijo"
"seventh eldest child","s‚ptimo hijo"
"eighth eldest child","octavo hijo"
"ninth eldest child","noveno hijo"
"tenth eldest child","d‚cimo hijo"
"youngest child","ni¤o m s joven"
"only child","hijo £nico"
"paternal grandmother","abuela paterna"
"paternal grandfather","abuelo paterno"
"maternal grandmother","abuela materna"
"maternal grandfather","Abuelo materno"
"older brother","Hermano mayor"
"older sister","hermana mayor"
"older sibling","Hermano mayor"
"younger brother","hermano menor"
"younger sister","hermana menor"
"younger sibling","Hermana menor"
"older half-brother","medio-hermano mayor"
"older half-sister","media-hermana mayor"
"older half-sibling","medio-hermano mayor"
"younger half-brother","medio hermano m s joven"
"younger half-sister","media hermana m s joven"
"younger half-sibling","medio hermano m s joven"
"no relationship","Ninguna relaci¢n"
"ren","s"
"Wetland","Humedal"
"Desert","Desierto"
"Forest","Bosque"
"Mountains","Monta¤as"
"Ocean","Oceano"
"Lake","Lago"
"Grassland","Pradera"
"Hills","Colinas"
" will be leaving soon."," nos iremos pronto."
"Animals, Toggle Available","Animales, Alternar disponible"
"the fall of ","la ca¡da de "
"Granite","Granito"
"Slate","Pizarra"
"Felsite","Felsita"
"Hematite","Hematita"
"Malachite","Malaquita"
"Limestone","Caliza"
"Sandstone","Arenisca"
"Timber","Madero"
"Moonstone","Piedra de luna"
"Opal","àpalo"
"Dabbling","aficionado"
"Novice","Novato"
"Adequate","Adecuado"
"Competent","Competente"
"Skilled","h bil"
"Proficient","Dominio"
"Adept","Adepto"
"Professional","Profesional"
"Accomplished","Consumado"
"High Master","Alto Maestro"
"Grand Master","Gran Maestro"
"Legendary","Legendario"
"Carpentry","Carpinteria"
"Bowmaking","Facturado de Arcos"
"Stone Carving","Esculpir"
"Stonecutting","Canter¡a"
"Engraving","Grabar"
"Masonry","Masoner¡a"
"Animal Caretaking","Cuidado de Animales"
"Fish Dissection","Diseccionado de Peces"
"Animal Dissection","Diseccionado de Animales"
"Fish Cleaning","Limpiado de Pescado"
"Butchery","Carnear"
"Trapping","Entrampar"
"Growing","Brotar"
"Herbalism","Cosechar"
"Riding","Cabalgando"
"Persuasion","Persuasi¢n"
"Negotiation","Negociaci¢n"
"Judging Intent","Juzgar Intenci¢n"
"Appraisal","Valoraci¢n"
"Organization","Organizaci¢n"
"Record Keeping","Contabilidad"
"Lying","Mentir"
"Intimidation","Intimidaci¢n"
"Comedy","Comedia"
"Flattery","Adulaci¢n"
"Consoling","Consolar"
"Pacification","Pacificaci¢n"
"Tracking","Rastrear"
"Furnace Operation","Operado de Horno"
"Strand Extraction","Extracci¢n de Hilo"
"Soap Making","Factura de Jab¢n"
"Potash Making","Factura de Potasa"
"Lye Making","Factura de Lej¡a"
"Wood Burning","Carbonizado de Madera"
"Weaponsmithing","Forja de Armas"
"Armorsmithing","Forja de Armaduras"
"Metalsmithing","Forja de Metal"
"Gem Cutting","Talla de Gemas"
"Gem Setting","Incrustado de Gemas"
"Woodcrafting","Arte de madera"
"Papermaking","Factura de Papel"
"Bookbinding","Encuadernaci¢n"
"Pottery","Alfarer¡a"
"Wax Working","Trabajo en Cera"
"Stone Crafting","Arte de Piedra"
"Metal Crafting","Arte de Metal"
"Glassmaking","Factura de Vidrio"
"Studying","Estudiar"
"Concentration","Concentraci¢n"
"Discipline","Disciplina"
"Observation","Observaci¢n"
"Prose","Prosa"
"Poetry","Poes¡a"
"Reading","Lectura"
"Speaking","Oratoria"
"Dance","Baile"
"Music","M£sica"
"Singing","Canto"
"Keyboard Instrument","Instrumentos de Teclado"
"Stringed Instrument","Instrumentos de Cuerda"
"Wind Instrument","Instrumentos de Viento"
"Percussion Instrument","Instrumentos de Percusi¢n"
"Critical Thinking","Pensamiento Cr¡tico"
"Logic","L¢gica"
"Optics Engineer","Ingenier¡a àptica"
"Fluid Engineer","Ingenier¡a de Fluidos"
"Coordination","Coordinaci¢n"
"Balance","Equilibrio"
"Leadership","Liderazgo"
"Military Tactics","T cticas Militares"
"Teaching","Ense¤anza"
"Fighting","Lucha"
"Archery","Arquer¡a"
"Wrestling","Pelear"
"Biting","Morder"
"Striking","Golpear"
"Kicking","Patear"
"Dodging","Esquivar"
"Axe","Hacha"
"Sword","Espada"
"Mace","Maza"
"Hammer","Martillo"
"Spear","Lanza"
"Crossbow","Ballesta"
"Pike","Pica"
"Bow","Arco"
"Siege Engineering","Ingenier¡a de asedio"
"Siege Operation","Operado de Asedio"
"Leatherworking","Peleter¡a"
"Tanning","Curtir"
"Dyeing","Te¤ir"
"Pressing","Prensado"
"Beekeeping","Apicultura"
"Glazing","Esmaltar"
"Bone Carving","Talla de Huesos"
"Weaving","Tejer"
"Brewing","Destilado"
"Clothes Making","Factura de ropa"
"Milling","Molienda"
"Threshing","Trillado"
"Blowgun","Cerbatana"
"Throwing","Lanzando"
"Machinery","Maquinaria"
"Knife","Cuchilla"
"Lash","Latigazo"
"Cooking","Cocina"
"Cheesemaking","Elaboraci¢n de queso"
"Milking","Orde¤ado"
"Gelding","Castrar"
"Shearing","Esquilado"
"Spinning","Hilado"
"Misc. Object","Objeto Mislen ceo"
"Wound Dressing","Vendado de Heridos"
"Diagnostics","Diagnostizaci¢n "
"Surgery","cirug¡a"
"Bone Setting","Colocando Hueso"
"Suturing","Suturado"
"Crutch-walking","Caminando con Muletas"
"Knapping","Raptando"
"Climbing","Escalar"
"Stone Carver","tallador de piedra"
"Stonecutter","Cantero"
"Engraver","Grabador"
"Mason","Constructor"
"Animal Trainer","Entrenador de Animales"
"Animal Caretaker","Cuidador de animales"
"Fish Dissector","Pescadero"
"Animal Dissector","Disector de Animales"
"Fish Cleaner","Limpiador de peces"
"Trapper","Trampero"
"Planter","Granjero"
"Herbalist","Herbologa"
"Ambusher","Emboscador"
"Swimmer","Nadador"
"Rider","Conductor"
"Persuader","Persuador"
"Negotiator","Negociante"
"Judge of Intent","Juez de Intenci¢n"
"Appraiser","Tasador"
"Organizer","Organizador"
"Record Keeper","Encargado del Registro/escribano"
"Liar","Mentiroso"
"Intimidator","Intimidador"
"Conversationalist","Conversador"
"Comedian","C¢mico"
"Consoler","Consolador"
"Pacifier","Pacificador"
"Tracker","Rastreador"
"Fisherman","Pescador"
"Furnace Operator","Operador de Horno"
"Strand Extractor","Sacahebras"
"Soaper","Jabonero"
"Potash Maker","Fabricante de Potasa"
"Lye Maker","Fabricante de lej¡a"
"Wood Burner","Carbonero"
"Weaponsmith","Armero"
"Armorsmith","Forjador de Armaduras"
"Blacksmith","Herrer¡a"
"Gem Cutter","Cortador de Gemas"
"Gem Setter","Incrustador de Gemas"
"Woodcrafter","Artesano de Madera"
"Papermaker","Fabricante de Papel"
"Bookbinder","Encuadernador"
"Potter","Alfarero"
"Wax Worker","Trabajador de Cera"
"Stone Crafter","Artesano de Piedra"
"Metal Crafter","Artesano de Metal"
"Glassmaker","Fabricante de Cristal"
"Student","Estudiante"
"Observer","Observador"
"Writer","Escritor"
"Poet","Poeta"
"Reader","Lector"
"Speaker","Lancero"
"Knapper","Secuestrador"
"Dancer","Bailar¡n"
"Musician","M£sico"
"Singer","Cantante"
"Keyboardist","Pianista"
"Stringed Instrumentalist","M£sico de Cuerda"
"Wind Instrumentalist","M£sico de Viento"
"Percussionist","Percusionista"
"Critical Thinker","Pensador Cr¡tico"
"Logician","L¢gico"
"Mathematician","Matematico"
"Astronomer","Astronomo"
"Chemist","Qu¡mico "
"Geographer","Ge¢grafo"
"Leader","L¡der"
"Tactician","Estratega"
"Teacher","Profesor"
"Fighter","Peleador"
"Archer","Arquero"
"Wrestler","Luchador"
"Biter","Mordedor"
"Kicker","Pateador"
"Axeman","Guerrero del hacha"
"Swordsman","Espadach¡n"
"Maceman","Macero"
"Hammerman","Guerrero del martillo"
"Spearman","Lancero"
"Crossbowman","Ballestero"
"Pikeman","Piquero"
"Bowman","arquero"
"Shield User","Usuario del Escudo"
"Armor User","Usuario de armaduras"
"Siege Engineer","Ingeniero de asedio"
"Siege Operator","Operador de asedio"
"Pump Operator","operador de bomba"
"Leatherworker","Peletero"
"Presser","Prensador"
"Beekeeper","Apicultor"
"Bone Carver","Tallador de hueso"
"Weaver","Tejedor"
"Brewer","Cervecero"
"Miller","Molinero"
"Thresher","thresher"
"Blowgunner","Cerbatanero"
"Thrower","Lanzador"
"Druid","Druida"
"Knife User","Hombre con cuchillo"
"Lasher","Azotador"
"Cheesemaker","Quesero"
"Milker","lechero"
"Shearer","Esquilador"
"Spinner","Hilador"
"Misc. Object User","Usuario de objeto miscelaneo"
"Wound Dresser","Curador de heridas"
"Suturer","Suturador"
"Crutch-walker","Caminando con Muletas"
"Climber","escalador"
"Schemer","Intrigante"
"Skill 1","Habilidad 1"
"Skill 2","Habilidad 2"
"Skill 3","Habilidad 3"
"Skill 4","Habilidad 4"
"Skill 5","Habilidad 5"
"Skill 6","Habilidad 6"
"Skill 7","Habilidad 7"
"Skill 8","Habilidad 8"
"Skill 9","Habilidad 9"
"Skill 10","Habilidad 10"
"has a menacing stare when ","tiene una mirada amenazante cuando "
" has a habit of rolling "," tiene la costumbre de rodar "
"noisy","Ruidoso"
"full","Lleno"
"sharp","Afilado"
"choppy","agitado"
"steady","estable"
"evolving","evolucionando"
"bright","Brillante"
"breathy","correntoso"
"mellow","meloso"
"wobbling","tambaleante"
"focused","Concentrado"
"even","par"
"vibrating","Vibrante"
"quavering","tembloroso"
"eerie","espeluznante"
"fragile","fr gil"
"brittle","fr gil"
"pure","puro"
"piercing","perforaci¢n"
"strident","estridente"
"wavering","ondulante"
"harsh","duro"
"reedy","chillon"
"buzzy","zumbido"
"rough","Tosco"
"warm","c lido"
"rugged","rugoso"
"heavy","Pesado"
"flat","plano"
"crisp","crocante"
"sonorous","sonoro"
"watery","flojo"
"gentle","Amable"
"slicing","rebanando"
"liquid","liquido"
"raucous","ruidoso"
"breezy","ventoso"
"raspy","rasposo"
"wispy","fino"
"shrill","estridente"
"muddy","fangoso"
"rich","Rico"
"dull","aburrido"
"floating","flotante"
"ringing","zumbido"
"resonant","resonante"
"sweet","Dulce"
"sparkling","chispiante"
"animal partner","compa¤ero animal"
"brawler","luchador"
"psycho","psic¢pata"
"information source","Fuente de informaci¢n"
"storyteller","narrador"
"poet","poeta"
"bard","bardo"
"dancer","bailar¡n"
"friendly","amigable"
"killer","asesino"
"hunter","guardabosques"
"murderer","homicida"
"respected group","grupo respetado"
"enemy fighter","combatiente enemigo"
"friendly fighter","combatiente amistoso"
"bully","mat¢n"
"brigand","bandolero"
"loyal soldier","soldado leal"
"quarreler","pendenciero"
"flatterer","adulador"
"protector of weak","protector del d‚bil"
"treasure hunter","cazador de tesoros"
"preserver of knowledge","preservador de conocimiento"
"thief","ladr¢n"
"Farming/Related","Plantado/Relacionado"
"anteater","oso hormiguero"
"antelope","ant¡lope"
"ape","mono"
"badger","tej¢n"
"bear","oso"
"beaver","castor"
"bison","bisonte"
"buffalo","b£falo"
"bull","toro"
"capybara","capibara"
"camel","camello"
"cat","gato"
"cavy","c vido"
"chameleon","camale¢n"
"civet","civeta"
"coati","coat¡"
"deer","reno"
"donkey","burro"
"elephant","elefante"
"elk","alce"
"fox","zorro"
"giraffe","girafa"
"goat","cabra"
"gopher","tuza"
"hare","liebre"
"hedgehog","erizo"
"horse","caballo"
"hyena","hiena"
"jackal","chacal"
"kangaroo","canguro"
"lizard","lagarto"
"mammoth","mamut"
"marmot","marmota"
"mole","topo"
"mongoose","mangosta"
"monitor","varano"
"moose","alce"
"monkey","mono"
"mouse","rat¢n"
"opossum","zarigeya"
"pangolin","pangol¡n"
"panther","pantera"
"pig","cerdo"
"porcupine","puercoesp¡n"
"rabbit","conejo"
"raccoon","mapache"
"rat","rata"
"rhinoceros","rinoceronte"
"sheep","oveja"
"shrew","musara¤a"
"skink","esliz¢n"
"skunk","mofeta"
"sloth","perezoso"
"squirrel","ardilla"
"tortoise","tortuga"
"warthog","jabal¡"
"weasel","comadreja"
"wolf","lobo"
"wombat","murci‚lago"
"zebra","cebra"
"Button","Bot¢n"
"Site","sitio"
" and ended at "," y termin¢ en "
"Civ Zone ","zona civilizada "
"Duplicate Object: ","Objeto Duplicado: "
"patching corruption: item off-loaded and also in play: ","Correcci¢n de parches: objeto descargado y tambi‚n en juego: "
"** Loading Fortress **","** Cargando Fortaleza **"
"** Loading Adventurer **","** Cargando Aventurero **"
"Off duty","Off servicio"
"Staggered training","Formaci¢n gradual"
"Constant training","Formaci¢n constante"
"Ready","Listo"
"removed erroneous unit occupancy flag","Se elimino la bandera de ocupacion de unidad erronea."
"removed erroneous unit ground occupancy flag","Se elimino la bandera de ocupacion de suelo de unidad erronea."
"Repairing squad info for Unit #","Reparando la informaci¢n del equipo para la Unidad"
"Loading world to start new game","Cargando mundo para comenzar un nuevo juego"
"Loading object files...  ","Cargando archivos de objetos... "
"Sorting text...","Clasificando texto..."
"Sorting material templates...","Clasificando plantillas de materiales..."
"Sorting inorganics...","Clasificando inorg nicos..."
"Sorting plants...","Clasificando Plantas..."
"Sorting tissue templates...","Clasificando plantillas de tejido..."
"Sorting items...","Clasificando Objetos..."
"Sorting buildings...","Clasificando Construcciones..."
"Sorting body detail plans...","Clasificando planos de detalle cuerpo..."
"Sorting creature bodies...","Clasificando cuerpos  de  las criaturas..."
"Sorting creature variations...","Clasificando variaciones de la criaturas..."
"Sorting creatures...","Clasificando Criaturas..."
"Sorting entities...","Clasificando Entidades..."
"Sorting languages...","Clasificando idiomas..."
"Sorting descriptors...","Clasificando descriptores..."
"Sorting reactions...","Clasificando Reacciones..."
"Sorting interactions...","Clasificando Interacciones..."
"Sorting music...","Clasificando m£sica..."
"Sorting sounds...","Clasificando sonidos..."
"Processing languages...","Procesando idiomas..."
"Processing inorganics...","Procesando inorg nicos..."
"Processing plants...","Procesando plantas..."
"Processing items...","Procesando objetos..."
"Processing creatures...","Procesando criaturas..."
"Processing entities...","Procesando entidades..."
"Processing reactions...","Procesando reacciones..."
"Processing interactions...","Procesando interacciones..."
"Processing music...","Procesando m£sica..."
"Processing sounds...","Procesando sonidos..."
"Generating inorganics...","Generando inorg nicos..."
"Generating plants...","Generando plantas..."
"Generating items...","Generando items..."
"Generating creatures...","Generando criaturas..."
"Generating entities...","Generando entidades..."
"Generating reactions...","Generando reacciones..."
"Generating interactions...","Generando interacciones..."
"Finalizing generated objects...","Finalizando objetos generados..."
"Preparing graphics...  ","Preparando gr ficos... "
"Loading items...","Cargando items..."
"Loading buildings...","Cargando construcciones..."
"Loading entities...","Cargando entidades..."
"Loading coin information...","Cargando informaci¢n de monedas..."
"Loading map data...","Cargando datos del mapa..."
"Loading civilized populations...","Cargando poblaciones civilizadas..."
"Loading history...","Cargando historia..."
"Loading parameters...","Cargando par metros..."
"Loading artifacts...","Cargando artefactos..."
"Loading active historical figures...","Cargando figuras hist¢ricas activas..."
"Loading squads...","Cargando escuadrones..."
"Loading formations...","Cargando formaciones"
"Loading activities...","Cargando actividades..."
"Loading interactions...","Cargando interacciones..."
"Loading written content...","Cargando contenido escrito..."
"Loading identities...","Cargando identidades..."
"Loading incidents...","Cargando incidentes..."
"Loading vehicles...","Cargando veh¡culos..."
"Loading armies...","Cargando tropas..."
"Loading army controllers...","Cargando los controladores del ej‚rcito..."
"Loading tracking information...","Cargando seguimiento de informaci¢n..."
"Loading cultural identities...","Cargando identidades culturales..."
"Loading agreements...","Cargando acuerdos..."
"Loading art forms...","Cargando formas de arte..."
"Loading occupations...","Cargando ocupaciones..."
"Loading belief systems...","Cargando sistemas de creencias..."
"Loading image sets...","Cargando conjuntos de im genes..."
"Loading divination sets...","Cargando conjuntos de adivinaci¢n..."
"Rebuilding temporary information...","Reconstrucci¢n de informaci¢n temporal..."
"Preparing game...","Preparando juego..."
"Failed!","Fracasado!"
"Loading world and continuing active game","Cargando mundo y continuando el juego activo"
"Loading units...","Cargando unidades..."
"Loading jobs...","Cargando trabajos..."
"Loading schedules...","Cargando horarios..."
"Loading projectiles...","Cargando projectiles..."
"Loading machines...","Cargando m quinas..."
"Loading flow guides...","Cargando gu¡as de flujo..."
"Loading effects...","Cargando efectos..."
"Loading local animal populations...","Cargando poblaciones de animales locales..."
"Loading events...","Cargando eventos..."
"Loading mandates...","Cargando mandatos..."
"Loading work quotas...","Cargando cuotas de trabajo..."
"Loading world events...","Cargando eventos del mundo..."
"Loading announcements...","Cargando anuncios..."
"Loading fortress information...","Cargando informaci¢n de la fortaleza..."
"Loading world information...","Cargando informaci¢n del mundo..."
"Loading adventure...","Cargando aventura..."
"Loading general information...","Cargando informaci¢n general..."
"Rebuilding more temporary information...","Reconstrucci¢n de informaci¢n m s temporal..."
"Preparing game screen...","Preparando pantalla de juego..."
"Handling compatibility issues...","Manejo de problemas de compatibilidad..."
"Newer compatible version of mod detected:","Nueva versi¢n compatible de mod detectada:"
" (save uses "," (guardar usos "
", not found",",no encontrado"
"Update","Actualizar"
"Update all","Actualizar todo"
"Don't update","No actualizar"
"Don't update any","No actualizar ninguno"
"Back to title","Volver al t¡tulo"
"Failed to find compatible mod:","No se pudo encontrar el mod compatible:"
"Failed to install mod:","No se pudo instalar el mod:"
"the Uprising","el Levantamiento"
"Gain possession","Adquirir posesi¢n"
"Pull it out","S calo"
"Cease nocking","Detener encoque"
"Roll","Rodar"
"Roll all","Rodar todo"
"medium","medio"
"region is: ","la regi¢n es: "
"variant is: ","la variante es: "
"alignment is: ","el alineamiento es: "
"Composer generated a chord: ","El compositor gener¢ un acorde: "
" removed."," quitado."
"Ally: ","Aliado: "
"The peaceful town of ","El tranquilo pueblo de "
" is threatened!  The forces of "," est  amenazado! Las fuerzas de "
" are on the march.  "," est n en marcha. "
"Commanded by ","Comandado por "
", they",", ellos"
"The enemy","El enemigo"
" will have no mercy.  There is little time -- you must flee.  Perhaps your family and friends can be convinced to leave."," no tendr  piedad. Hay poco tiempo: debes huir. Quiz s puedas convencer a tus familiares y amigos para que se vayan."
"Legends speak of ","Las leyendas hablan de "
"an ancient","un antiguo"
" vault, "," cripta, "
", where ",", d¢nde "
" wrested "," arrebatado "
" power from the Underworld by invoking "," Poder del Inframundo invocando "
" true name.  The location of this place is well-known, but none have penetrated its secrets.  If the true name of the monster can be uncovered, you might be able to end this terror forever."," nombre verdadero. La ubicaci¢n de este lugar es bien conocida, pero nadie ha penetrado en sus secretos. Si se puede descubrir el verdadero nombre del monstruo, es posible que puedas acabar con este terror para siempre."
"The citizens of ","Los ciudadanos de "
" are plagued by bandits.  The gang"," est n plagados de bandidos. La pandilla"
" has even sent some troublemakers to harass people right here in town."," incluso ha enviado algunos alborotadores para molestar a la gente aqu¡ mismo en el pueblo."
"Just reunited after a long journey, you are together with your companions again.  ","Reci‚n reunido despu‚s de un largo viaje, est s nuevamente junto con tus compa¤eros. "
"After a long journey, you are here to meet your most trusted companion.  ","Despu‚s de un largo viaje, est s aqu¡ para encontrarte con tu compa¤ero m s confiable. "
" is from here and might have some local information."," es de aqu¡ y puede que tenga alguna informaci¢n local."
"Your most trusted local companions are meeting you here today.","Tus compa¤eros locales m s confiables te recibir n aqu¡ hoy."
"Your most trusted companions have made the journey to meet you here today.","Tus compa¤eros m s confiables han hecho el viaje para encontrarse con usted hoy aqu¡."
"After a long journey, you are here to meet your most trusted companion.","Despu‚s de un largo viaje, est s aqu¡ para encontrarte con tu compa¤ero m s confiable."
"Your most trusted companion has made the journey to meet you here today.","Tu compa¤ero m s confiable ha hecho el viaje para encontrarse con usted hoy aqu¡."
"You've finally got your equipment together, such as it is.  Now it's time for action and adventure!  ","Finalmente tienes tu equipo listo, tal como est . ­Ahora es el momento de la acci¢n y la aventura! "
"In the rush of excitement, you've forgotten where you were going to go.","En medio de la emoci¢n, has olvidado ad¢nde ibas a ir."
"Your wanderings have brought you to this place after a long journey.","Tus andanzas te han tra¡do hasta este lugar despu‚s de un largo viaje."
"  A foolhardy soul might try to rescue the "," Un alma temeraria podr¡a intentar rescatar al "
"children that have been kidnapped.","ni¤os que han sido secuestrados."
"child that has been kidnapped.","ni¤o que ha sido secuestrado."
"  Let the party venture forth!"," ­Que la fiesta se adentre en la aventura!"
"  Perhaps some of your friends here have ideas."," Quiz s algunos de tus amigos aqu¡ tengan ideas."
"  Perhaps some of your friends here can remind you."," Quiz s algunos de tus amigos aqu¡ puedan record rtelo."
"  Perhaps some of the people here will be worth talking to before you continue on your way."," Quiz s valga la pena hablar con algunas de las personas de aqu¡ antes de continuar tu camino."
"You must ","Deber¡as "
"You've assumed tactical control as nobody else is available.","Has asumido el control t ctico porque no hay nadie m s disponible."
"""Greetings.  I am ","""Saludos. Soy "
", and I have chosen you",", y te he elegido"
" as my instrument of "," como mi instrumento de "
"The remnants of creation, ","Los remanentes de la creaci¢n, "
", belong with my followers, ",", pertenece a mis seguidores, "
"Seek out ","Busca "
" and fulfill your destiny."""," y cumple tu destino."""
"""You've found ","""Has encontrado "
"!  My chosen, you must speak to them and offer your service.""","! Mi elegido, debes hablar con ellos y ofrecer tus servicios."""
"""Do you feel the pull?  You sense the direction of my representative.  It is possible to travel quickly to reach them, or you may journey more deliberately.  It is your decision.""","""¨Sientes la atracci¢n? Percibes la direcci¢n de mi representante. Es posible viajar r pidamente para alcanzarlo, o puedes emprender el camino con m s calma. La decisi¢n es tuya."" "
"""Congratulations!  Now you must return this precious object to its proper home.""","""­Enhorabuena! Ahora debes devolver este preciado objeto a donde pertenece."""
"You seek ","Buscas "
".  If you do not find the location in your log, ask others for directions.  You may also follow the pull from your senses.""",". Si el lugar no aparece en tu registro, busca orientaci¢n en otros. Tambi‚n puedes dejarte guiar por la atracci¢n de tus sentidos."
"The journey is long.  Be sure to travel to ","El viaje es largo. Aseg£rate de viajar a "
", rather than walking leisurely.""",", en lugar de caminar tranquilamente""."
"""This place is dangerous.  Steel yourself against ancient enemies.  Try not to let yourself be surrounded, and remain standing.  Enter and vanquish!  Or slip in unseen.  Securing the treasure is all that matters.""","""Este lugar es peligroso. Prep rate para enfrentar a enemigos ancestrales. Intenta no dejarte rodear y mantente en pie. ­Entra y vence! O desl¡zate sin ser visto. Lo £nico que importa es asegurar el tesoro."""
"""You are close.  Follow your senses to the entrance.","""Est s cerca. Sigue tus instintos hasta la entrada."
"  But my chosen, you are "," Pero elegido m¡o, t£ eres "
"in a state","en un estado"
"in need of drink and sustenance","necesitado de bebida y alimento"
"in need of sustenance and sleep","necesitado de alimento y sue¤o"
"in need of sustenance","necesitado de alimento"
"in need of drink and sleep","necesitado de bebida y sue¤o"
"in need of drink","necesitado de bebida"
"in need of sleep","necesitado de sue¤o"
"!  See to yourself before you face what's ahead.","! Oc£pate de ti mismo antes de enfrentarte a lo que viene."
"  Remember that ice and snow can be heated by a campfire."," Recuerda que el hielo y la nieve pueden derretirse con una fogata."
"""Congratulations, my faithful chosen!  There are other ways you can serve, if you offer your service again.  You may also live your life as you see fit now if you choose.  You have done well.""","""­Felicidades, mi fiel elegido! Existen otras formas en las que puedes servir, si vuelves a ofrecer tus servicios. Tambi‚n puedes vivir tu vida como consideres adecuado, si as¡ lo decides. Has cumplido bien."""
"""With the treasure, you are near to glory and fulfillment of your task.  Your senses can lead you on your return journey.""","""Con el tesoro, est s cerca de la gloria y de completar tu tarea. Tus sentidos pueden guiarte en tu viaje de regreso."""
"""You may return the object to the faithful by gifting it to one of the priests, or you may simply drop it in this structure wherever you see fit.""","""Puedes devolver el objeto a los fieles entreg ndoselo a uno de los sacerdotes, o simplemente dej ndolo en esta estructura donde consideres apropiado."""
