"Archery","Öj szat"
"Loading tracking information...","Nyomk”vet‚si inform ci¢k bet”lt‚se..."
"Overall, the splendid source of information","™sszess‚g‚ben, a kiv l¢ inform ci¢forr s"
" tube"," cs‹"
" gives you "," neked adja "
" serene"," derûs"
" clockwise"," ¢raj r s val"
"There is not enough room to perform here.","Nincs el‚g hely a v‚grehajt shoz."
"crystal glass ","krist ly veg "
"the exposition","az expoz¡ci¢"
"friendship","bar ts g"
"Play ","J t‚k "
"Stone-fall","K‹oml s"
"pressed filth","nyomott mocsok"
"Really.","Val¢ban."
"pressed coal","pr‚selt sz‚n"
"raccoon","mos¢medve"
" energetic"," energikus"
"Setting temperature...","H‹m‚rs‚klet meghat roz sa..."
"Impatient","Trelmetlen"
"Then ","Akkor "
"Artwork","Mûalkot s"
"Show advanced options.","B‹v¡tett be ll¡t sok megjelen¡t‚se."
"Rooms","Szob k"
"You continue the music.","Folytatod a zen‚t."
"Gem Window","Dr gak‹ablak"
"Make sure your parameters and presets allow as many mountain squares as you are requiring river start points.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok annyi hegyi n‚gyzetet engednek meg, ah ny folyami kiindul¢pontot szeretn‚l. "
"Spice","Fûszer"
"Disdains decorum","Megveti az illemszab lyokat"
"skunk","bûz”sborz"
"grab","fog"
"The tonic note is a fixed tone passed from teacher to student.  ","A t¢nus egy r”gz¡tett hang, amely a tan rr¢l a tanul¢ra sz ll. "
"badger","borz"
"eat","enni"
"feast","lakoma"
"] hotkey will recenter on your wagon.","] gyorsbillentyûvel a szek‚rhez ugorhatsz."
"Disdains family","Megveti a csal dot"
"Tropical Saltwater Swamp","Tr¢pusi s¢s vizû mocs r"
"Digging a ramp into a wall on the same level will create a connection to the higher level and remove the ceiling. ","Ha egy r mpa kerl ki s sra az ugyanazon a szinten l‚v‹ falban, azzal kapcsolat l‚tesl a magasabb szinthez, ‚s a mennyezet elt vol¡t sra kerl. "
" sensual"," ‚rz‚ki"
" Age"," Korszak"
"Autumn","Šsz"
" verse paragraph"," vers bekezd‚s"
"Drink","Iszik"
"willpower","akarater‹"
"Blocks creatures but allows the passage of fluids and items.  Can be built over empty spaces, stairs, ramps, or above liquids.  Grates unlike bars have a quality and enhance the value of rooms.  Grates can be connected to levers.","Blokkolja a l‚nyeket, de lehet‹v‚ teszi a folyad‚kok ‚s t rgyak  tjut s t. šres terek, l‚pcs‹k, r mp k vagy folyad‚kok f”l‚ ‚p¡thet‹. A csap¢r csok a rost‚lyokkal ellent‚tben rendelkeznek min‹s‚ggel, ‚s n”velik a helyis‚gek ‚rt‚k‚t. A csap¢r csok emel‹karokhoz csatlakoztathat¢k."
"Temperate Saltwater Pool","M‚rs‚kelt s¢s vizû medence"
"The main way is by brewing alcohol. ","A legf‹bb megold s az alkoholf‹z‚s. "
"Two ","Kett‹ "
"Yearly","ves"
"Can your parameters achieve elevations between 0 and 99 frequently?  ","A param‚tereid gyakran el‚rik a 0 ‚s 99 k”z”tti magass got? "
"a bridge-passage","egy h¡d- tj r¢"
"melt","olvadt"
"Loss","Vesztes‚g"
"Opal","Op l"
"power","er‹"
"Regular mining blueprint","K”z”ns‚ges b ny szati tervrajz"
"Archery Practice","Öj sz gyakorl s"
"bloody ","v‚res "
"Regular mining","K”z”ns‚ges b ny szat"
"Poetry","K”lt‚szet"
" hand gesture"," k‚z jel"
"Quarters","Sz ll shely"
"magma sea","magmatenger"
" not found -- using default."," nem tal lhat¢ -- alap‚rtelmezett haszn lata."
"tomb","s¡r"
"Alternatively, you can reduce the number of ocean squares and regions required by the parameters.","Alternat¡vak‚nt cs”kkentheted a param‚terek  ltal el‹¡rt ¢ce nn‚gyzetek ‚s r‚gi¢k sz m t."
"Every note is named.  ","Minden hangjegy meg van nevezve. "
"Audio","Hang"
"Wait, what?","V rj, mivan?"
"I was beaten with the hammer.","Megvertek a kalap ccsal."
"Disdains craftwork","Megveti a k‚zmûvess‚get"
" attack "," t mad s "
" line."," sor."
" passive"," passz¡v"
"Watch ","N‚z "
"decomposing","leboml¢"
"a legendary hero","egy legend s h‹s"
"an improvised recital of ","egy r”gt”nz”tt el‹ad s "
"Delayed repeat","K‚sleltetett ism‚tl‚s"
"Percussion Instrument","št‹s hangszer"
"Your citizens will sleep in bedrooms.  It should include a bed!  Try to enclose it with walls and/or doors.  Do not overlap with other rooms.","A lakosok h l¢szob kban alszanak majd. Ennek tartalmaznia kell egy  gyat! Pr¢b ld meg falakkal ‚s/vagy ajt¢kkal k”rlz rni. Ne legyen  tfed‚sben m s helyis‚gekkel."
"Millstone","Malomk‹"
"Meager Quarters","Szeg‚nyes sz ll shely"
" surprised"," meglepett"
"Overview","µttekint‚s"
"Focused!","F¢kusz lt!"
"Temperate Grassland","M‚rs‚kelt legel‹"
"Make metal bars from ore here.  Can also refine coal into usable fuel or make alloys.  Magma below the smelter will power tasks.  You are responsible for placing the smelter above the magma, but no other fuel is required.","Ezen a helyen ‚rcb‹l f‚mrudakat lehet el‹ ll¡tani. A szenet tzel‹anyagg  lehet alak¡tani, vagy ”tv”zeteket lehet el‹ ll¡tani. A koh¢ alatti magma biztos¡tja az energi t a mûk”d‚shez. Magma f”l‚ kell helyezni, de nincs szks‚g egy‚b tzel‹anyagra."
"Go to Combat Training","Harci edz‚sre megy"
" sick!"," beteg!"
"is very large and just incredibly fat","nagyon nagy ‚s hihetetlenl k”v‚r"
"Removing Stones","K”vek elt vol¡t sa"
"Play with ","J tszik vele "
"Autosave","Automatikus ment‚s"
"Loading data needed to create new world","éj vil g l‚trehoz s hoz szks‚ges adatok bet”lt‚se"
"traitor"," rul¢"
"Stockpile","Rakt r"
"Tropical Saltwater Pool","Tr¢pusi s¢s vizû medence"
" Notable Kill"," Nevezetes gyilkoss g"
" of the first theme"," az els‹ t‚m nak"
"Disdains introspection","Megveti az ”nelemz‚st"
"Make sure your parameters and presets offer enough low-to-mid savagery, evil/good appropriate, biome appropriate squares to establish sites.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok elegend‹ alacsony-k”zepes vads ggal, valamint gonoszs gnak/j¢s gnak ‚s biomnak megfelel‹ n‚gyzetet k¡n lnak a helysz¡nek l‚trehoz s hoz. "
"Minimum Mountain Peak Number","Minim lis hegycs£cssz m"
"Ambush","Rajtat‚s"
"If this is your first time playing, please heed the embark warnings about aquifers, saltwater, and other hazards. ","Ha ez az els‹ j t‚kod, k‚rjk, vedd figyelembe a v¡ztartal‚kokkal, s¢s v¡zzel ‚s egy‚b vesz‚lyekkel kapcsolatos figyelmeztet‚seket. "
" harms the creature.","  rt a l‚nynek."
" curved walk"," ¡ves s‚ta"
"lemur","maki"
"Stonecutting","K‹metsz‚s"
"I talked to my sibling.","Besz‚ltem a testv‚remmel."
"Magma Flow","Magmafolyam"
"the forces","az er‹k"
"Stone Hauling","K‹sz ll¡t s"
"a great hero","egy nagy h‹s"
"Loading divination sets...","J¢sl sk‚szletek bet”lt‚se..."
"The form guides musicians during improvised performances.  ","A formula ir ny¡tja a zen‚szeket az improvizat¡v el‹ad sok sor n. "
"not one day ago","egy napja se"
", but those acts bring no forgiveness.",", de azon cselekedetek nem hoznak megbocs t st."
"to praise","dics‚rje"
"Tell Story","T”rt‚netet mes‚l"
"MEDIUM REGION","K™ZEPES RGIà"
"Magma Layer","Magmar‚teg"
"glacier","gleccser"
" my prisoner."," az ‚n rabom."
"history","t”rt‚nelem"
"Record Keeping","Nyilv ntart s"
"the dining hall","az ‚zkez‹"
"begins","kezd‹dik"
"You continue the sermon.","Folytatod a pr‚dik ci¢t."
"beaver","h¢d"
"Finalizing...","V‚gleges¡t‚s..."
"CONTINUE until you give me another warning.","FOLYTATµS addig, am¡g £jabb figyelmeztet‚s nem ‚rkezik."
"Keyboard Instrument","Billentyûs hangszer"
"Curse this fog!  I cannot see a thing.","µtkozott k”d! Nem l tok semmit."
"filthy ","mocskos "
"Historical figures","T”rt‚nelmi szem‚lyek"
"Only one pitch is ever played at a time in this passage.  ","Egyszerre mindig csak egy hangmagass g sz¢lal meg ebben a szakaszban. "
"Disdains stoicism","Megveti a higgadts got"
"generic"," ltal nos"
"Gem Setting","Dr gak‹-be gyaz s"
"cooling magma","kihûl‹ magma"
", but that bond seems so thin now.",", de az a k”tel‚k oly v‚konynak tûnik most."
"resident","lakos"
"Promote ","N‚pszerûs¡t "
"Fine Quarters","Remek sz ll shely"
"Weak","Gyenge"
"It's time to get to work!  Let's start by digging a stairwell into the ground.  ","Ideje munk hoz l tni! Kezdd azzal, hogy  sol a f”ldbe egy l‚pcs‹sort. "
" apart"," sz‚t"
"There are not enough dancers.","Nincs el‚g t ncos."
"You must have at least as many of these highest elevation points as you are requiring peaks.  ","Legal bb annyi ilyen legmagasabb pontnak kell lennie, ah ny cs£csot szeretn‚l. "
"Failed to find vanilla world map header.","Nem sikerlt megtal lni a van¡lia vil gt‚rk‚p fejl‚c‚t."
"pressed coral","pr‚selt korall"
"Make sure your parameters and presets can support low elevation areas.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok t mogatj k az alacsonyan fekv‹ terleteket. "
"Loading written content...","Örott tartalom bet”lt‚se..."
" straight walk"," egyenes s‚ta"
"several days ago","j¢p r nappal ezel‹tt"
"Alternatively, you can reduce the number of non-mountain caves required by the parameters.","Alternat¡vak‚nt cs”kkentheted a param‚terek  ltal megk”vetelt nem hegyvid‚ki barlangok sz m t."
"stone furniture shop sign","k‹b£tor-zlet felirata"
" backward bend"," h tra d‹l"
"Loading world and continuing active game","Vil g bet”lt‚se ‚s akt¡v j t‚k folytat sa"
"Activity","Tev‚kenys‚g"
"I'm so incredibly confused...","Hihetetlenl ”ssze vagyok zavarodva..."
" my former apprentice."," az ‚n volt tan¡tv nyom."
"boiling magma","forr sban l‚v‹ magma"
"capybara","v¡zidiszn¢"
"Animal Caretaker","µllatgondoz¢"
"When ","Mikor "
"grandchild","unoka"
"Loading adventure...","Kaland bet”lt‚se..."
"Organization","Szervezet"
"The world generator is having trouble placing hills.  ","A vil ggener tornak gondjai vannak a dombok elhelyez‚s‚vel. "
"[C:7:0:0], and [C:2:0:0]","[C:7:0:0], ‚s [C:2:0:0]"
"crown","korona"
"Finalizing sites... (","Helysz¡nek v‚gleges¡t‚se... ("
"MEDIUM ELEVATION REJECTION","K™ZEPES MAGASSµGé VISSZAUTASÖTµS"
"raw ","nyers "
"Poetry Competition","K”lt‚szeti verseny"
"Sandstone","Homokk‹"
"religion","vall s"
"tube","cs‹"
"just barely ","‚ppencsak "
"Loading army controllers...","Hadseregvez‚rl‹k bet”lt‚se..."
" tearing apart"," sz‚t t‚p"
"Civilizations and other entities","Civiliz ci¢k ‚s m s entit sok"
"If you have very few biome types and are placing good or evil regions, they'll often crowd out the civilizations as well.  ","Ha nagyon kev‚s biomt¡pusod van, ‚s j¢ vagy gonosz terleteket helyezel el, akkor azok gyakran kiszor¡tj k a civiliz ci¢kat is. "
"reciting the poem ","a vers elszaval sa "
"drink","inni"
"crushed bridge","”sszet”rt h¡d"
"Unnamed dining hall","N‚v n‚lkli ‚tkez‹"
"Number of civilizations","Civiliz ci¢k sz ma"
"Truth","Igazs g"
"howling spirit","vony¡t¢ l‚lek"
"Stone Carving","K‹v‚s‚s"
"My apologies, but we're still unloading.","Eln‚z‚sedet k‚rjk, de m‚g mindig rakodunk."
" skipped: identifier cannot start with 'vanilla'."," kihagyva: az azonos¡t¢ nem kezd‹dhet 'vanilla' sz¢val."
"It is raining.","Esik."
" civilization"," civiliz ci¢"
"Modest Quarters","Szer‚ny sz ll shely"
" on the first theme"," az els‹ t‚m r¢l"
"Finished prehistory...","Befejezett ‹st”rt‚net..."
"I have been eating the same old food.","Ugyan azt a szok sos ‚telt ettem."
"Ramp mining","R mpa ki s sa"
"Activity Event","Tev‚kenys‚g esem‚ny"
"This doesn't put me in a jovial mood.","Ett‹l nem leszek vid m hangulatban."
"Chords are packed close together in dense clusters in this passage.  ","Az akkordok ebben a szakaszban sûrûn t”m”rlnek egym s mell‚. "
"traveling","utaz s"
" lay"," lefekszik"
"Stringed Instrument","Von¢s hangszer"
" of the second theme"," a m sodik t‚m nak"
"Feel free to pause and check out the information.","Nyugodtan tarts sznetet ‚s n‚zd meg az inform ci¢kat."
"Water","V¡z"
"Tropical Coniferous Forest","Tr¢pusi tûlevelû erd‹"
" independent body movement"," fggetlen test mozg s"
"Magma Mist","Magmak”d"
"water","v¡z"
"You can build a ramp next to a wall to provide access to the floor above.  The space above the ramp must also be empty.  Requires boulder, block, or wood.","p¡thetsz egy r mp t a fal mell‚, hogy lehets‚ges legyen a fels‹ szintre val¢ feljut s. A r mpa feletti t‚rnek szint‚n resnek kell lennie. Szikla, t”mb vagy fa szks‚ges hozz ."
"an unidentified creature","egy ismeretlen l‚ny"
"ice","j‚g"
"It has no pages.","Nincsenek lapjai."
"Lying","Hazugs g"
"Table","Asztal"
"You have not read this book.","Nem olvastad ezt a k”nyvet."
"Competition","Verseny"
"Recite Poetry","Mondd el a k”ltem‚nyt"
"That's absurd!","Ez absz£rd!"
"Loading announcements...","Bejelent‚sek bet”lt‚se..."
"Harmony","Harm¢nia"
"Wait for ","V r "
" latches on firmly!"," szorosan r fogott!"
"easily ","k”nnyed‚n "
" the same as me."," ugyan az mint ‚n."
"Discuss ","Megbesz‚l "
"a toy","egy j t‚k"
"Fish Cleaning","Haltiszt¡t s"
"Glass Window","švegablak"
"LACK OF EDGE OCEANS","PEREMàCEµNOK HIµNYA"
"through the ","keresztl a "
"Personality","Szem‚lyis‚g"
"You may need supplies before the coming of winter. ","rdemes lehet k‚szleteket felhalmoznod m‚g a t‚l be llta el‹tt. "
"bowl-shaped","t l-alak£"
"north","‚szak"
" was slain"," lelett v gva"
"memorial","eml‚khely"
" has become a student of "," tanul¢j v  v llt "
"I visited with my animal training partner.","Megl togattam az  llatk‚pz‹ partnerem."
"mammoth","mamut"
"Ruin","Roml s"
"This may take a long while!","Ez eltarthat egy ideig!"
"Age of Civilization","A Civiliz ci¢ kora"
"low","alacsony"
"that is the stupidest statement I have ever heard.","ez a leghly‚bb  ll¡t s amit valaha hallottam."
"Wax Working","Viasz-megmunk l s"
"Magma glass furnace","Magma-vegkemence"
"Temperate Saltwater Marsh","M‚rs‚kelt s¢s vizû l p"
"You","Te"
"gooey ","trutyis "
"less temperate","kev‚sb‚ m‚rs‚kelt"
"loyalty","lojalit s"
"Magma Smelter","Magmaolvaszt¢"
"On your own!","Magadra maradt l!"
"Perform Dance","T ncel‹ad s"
"my friend","bar tom"
"theme","t‚ma"
"HIGH ELEVATION REJECTION","MAGAS MAGASSµG VISSZAUTASÖTµSA"
"Dark tower","S”t‚t torony"
"Great Bedroom","Nagyszerû h l¢szoba"
"trees","f k"
"Select a type below to add a zone.","Egy z¢na l‚trehoz s hoz v lassz ki egy t¡pust az al bbiak k”zl."
"cheese","sajt"
"stonecrafter","k‹farag¢"
"its","”v‚"
" is bored"," unatkozik"
"Make sure your parameters and presets can support mid-elevation, mid-to-high rainfall, low drainage, non-freezing areas.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok t mogatj k a k”zepes magass g£, k”zepes ‚s magas csapad‚kmennyis‚gû, alacsony v¡zelvezet‚sû, nem fagyos terleteket. "
"The body of ","A teste a "
"Growing","N”vekv‹"
"Family","Csal d"
"absolutely no willpower","abszol£t semmi akarater‹"
"Play now","J t‚k most"
"gecko","gekk¢"
"Craftsmanship","K‚zmûvess‚g"
"Intrigue","Intrika"
"crystal glass","krist lyveg"
"Go to Sparring Practice","Menj a box gyakorl sra"
"Placing good/evil...","J¢/gonosz elhelyez‚se..."
"civet","cibetmacska"
"Once a ramp is present, you can start using the regular mining command on the higher level.","Ha m r rendelkez‚sre  ll egy r mpa, akkor elkezdheted haszn lni a k”z”ns‚ges b ny szparancsot a magasabb szinten."
"Items designated for dumping will be tossed into open air spaces included in this zone.  If no open air tiles are included, they will dump the items on the floor.","A lerak sra kijel”lt t rgyakat az ebbe a z¢n ba tartoz¢ szabadt‚ri terletekre kell helyezni. Ha nincsenek benne szabad mez‹k, akkor a t rgyakat a padl¢ra kerlnek."
"seeds","magok"
"Thirsty","Szomjas"
"a few years ago","n‚h ny ‚vvel ezel‹tt"
"Loading world to start new game","Vil g bet”lt‚se £j j t‚k ind¡t s hoz"
" eighth"," nyolcadik"
"Riding","Lovagl s"
"Concentration","™sszpontos¡t s"
"Kicking","R£g s"
"Open Space","Ny¡lt t‚r"
"elephant","elef nt"
"Medium","K”zepes"
" quarter"," negyed"
"Liar","Hazug"
"Prehistory init...","Šst”rt‚net kezdete..."
"Decent Dining Room","Tisztess‚ges ‚tkez‹"
"I beat somebody as a punishment.","Megvertem valakit bntet‚sb”l."
"burning ","‚g "
" an animal."," egy  llat."
"Other stone","Egy‚b k‹"
"Preach on ","Pr‚dik lj "
" strikes at "," lecsap r  "
"The poem ","A vers "
"Drowning","Fulladozik"
"an improvised dance, ","egy t nc improviz ci¢, "
"angry ghost","m‚rges szellem"
"dirty ","piszkos "
"main part","f‹ r‚sz"
" events total):"," esem‚ny ”sszesen):"
"Bookbinding","K”nyvk”t‚s"
"Murderer!","Gyilkoss g!"
"Many facts are still unclear to historians.  ","Sz mos t‚ny m‚g mindig hom lyos a t”rt‚n‚szek sz m ra. "
"Volcanism","Vulkanizmus"
"was shot and killed","lel‹tt‚k ‚s belehalt"
"Digging designation cancelled: warm stone located.","µs si kijel”l‚s visszavonva: meleg k‹ ‚szlelve."
"Gem Cutting","Dr gak‹csiszol s"
"Disdains perseverance","Megveti a kitart st"
"Mod identifier ","M¢d azonos¡t¢ja "
" ammunition"," l‹szer"
"Wooden Furniture","Fab£torok"
"I am not hopeful.","Nem vagyok bizakod¢."
" also"," ‚s m‚g"
"Look at those clouds!","N‚zd azokat a felh‹ket!"
"moaning spirit","ny”gd”s‹ l‚lek"
"[C:6:0:1]Fertilizer[C:7:0:0] and skilled [C:2:0:0]Planters[C:7:0:0] have a direct impact on crop yield. ","A [C:6:0:1]Mûtr gya[C:7:0:0] ‚s a k‚pzett [C:2:0:0]šltet‹k[C:7:0:0] k”zvetlen hat ssal vannak a term‚shozamra. "
"ALLOW THIS REJECTION TYPE and continue reporting others.","ENNEK A VISSZAUTASÖTµSI TÖPUSNAK AZ ENGEDLYEZSE, a t”bbi jelent‚s‚nek folytat sa."
"Go to Sparring Match","Menj a boxm‚rk‹z‚sre"
"RAINFALL REJECTION","CSAPADK VISSZAUTASÖTµSA"
"the magma sea","a magmatenger"
"Tropical Savanna","Tr¢pusi szavanna"
"You have selected the largest possible area.","A lehet‹ legnagyobb terletet v lasztottad ki."
"I talked to my lover.","Besz‚ltem a szeret‹mmel."
"Population: <10","N‚pess‚g: <10"
"Pain","F jdalom"
"praying to ","im dkozik "
"You have selected a narrow area.","Egy szûk terletet v lasztott l ki."
"Papermaking","Pap¡rgy rt s"
"pangolin","tobzoska"
" my former master."," az ‚n volt mesterem."
"confirm","elfogadni"
"Bedroom","H l¢szoba"
"tame ","szel¡d "
"You can make a variety of objects using three different types of glass.  You can also collect sand in bags from a task originating here, if you have a sand collection zone.  Magma below the furnace will power tasks.  You are responsible for placing the furnace above the magma, but no other fuel is required.","H romf‚le vegt¡pusb¢l k‚sz¡thetsz kl”nf‚le t rgyakat. Az itt zajl¢ mûveletekkel homokot gyûjthetsz zs kokba, ha van homokgyûjt‹ terleted. A kemence alatti magma biztos¡tja az energi t a mûk”d‚shez. Magma f”l‚ kell helyezni, de nincs szks‚g egy‚b tzel‹anyagra."
"sticky ","ragacsos "
"Metropolis","Metropolisz"
" likes working outdoors and grumbles only mildly at inclement weather.  "," szeret kint dolgozni ‚s csak akkor morog ha kicsit kellemetlen az id‹j r s. "
"You may create multiple characters during character creation.  These are your party.  You may select one party leader freely ","Ak r t”bb karaktert is l‚trehozhatsz karakter k‚sz¡t‚s k”zben. Šk a te csapatod. Szabadon v laszthatsz egy vezet‹t a csapatod ‚l‚re. "
"Are you sure you want to abort?","Biztosan meg szeretn‚d szak¡tani?"
"Load","Bet”lt‚s"
"Your view is focused on one elevation at a time.  To move the camera around, press ","A l t¢sz”ged egyszerre csak egy magass gra ”sszpontosul. A kamera mozgat s hoz nyomd meg: "
"Disdains advice","Megveti a tan csokat"
"The music continues.","A zene folytat¢dik."
"Toy","J t‚k"
" picks up "," felveszi "
"Very high","Nagyon magas"
"Very rare","Nagyon ritka"
"often","gyakran"
"Drainage Mesh Size","Lefoly s h l¢m‚rete"
"Power","Er‹"
"Number of Mountain Caves","Hegyvid‚ki barlangok sz ma"
"Pause after every autosave","Sznet minden automatikus ment‚s ut n"
"Felsite","Felzit"
"Really delete this parameter set?","Biztosan t”rl”d ezt a param‚terk‚szletet?"
"Cut stone","V gott k‹"
"Make sure your parameters and presets can support mid-elevation, low-to-mid drainage, freezing areas.  ","Gy‹z‹dj meg r¢la, hogy a param‚terek ‚s az alapbe ll¡t sok t mogatj k a k”zepes magass g£, alacsony ‚s k”zepes v¡zelvezet‚sû, fagyos terleteket. "
"Loading world events...","Vil g esem‚nyeinek bet”lt‚se..."
"female ","n‹ "
"Assign a new or existing location to this zone.  Locations are groups of zones and rooms with a larger purpose, like a tavern, a temple, a library, or a craft guildhall.","éj vagy megl‚v‹ helysz¡n hozz rendel‚se ehhez a z¢n hoz. A helysz¡nek z¢n k ‚s helyis‚gek csoportjai, amelyek nagyobb c‚lt szolg lnak, mint p‚ld ul egy kocsma, egy templom, egy k”nyvt r vagy egy k‚zmûves c‚h csarnoka."
"A few issues still trouble scholars, but the picture is fairly clear.  ","N‚h ny k‚rd‚s m‚g mindig nyugtalan¡tja a tud¢sokat, de a helyzet meglehet‹sen vil gos. "
"The weather looks to be fine today.","Az id‹j r s ma sz‚pnek ig‚rkezik."
"giraffe","zsir f"
"Height","Magass g"
"Rotten ","Rohadt "
"Rainfall","Csapad‚k"
"Perform Music","Zene el‹ad sa"
"Hammer","P”r”ly"
"Age of Myth","A M¡toszok kora"
"Groups","Csoportok"
"Go to ","Menj "
"Loading mandates...","Megb¡z sok bet”lt‚se..."
"Finalizing civ mats... (","Civiliz ci¢s alapanyag v‚gleges¡t‚se... ("
"Well","K£t"
"Tradition","Hagyom ny"
"Disdains self-control","Megveti az ”nuralmat"
"Royal Bedroom","Kir lyi h l¢szoba"
" shadowed","  rny‚kolt"
" playing make believe."," j tszva hidd el."
"The world generator is having trouble placing swamps and marshes.  ","A vil ggener tornak gondjai vannak a mocsarak ‚s l pok elhelyez‚s‚vel. "
"The world generator is having trouble placing glaciers.  ","A vil ggener tornak gondjai vannak a gleccserek elhelyez‚s‚vel. "
"next to no willpower","szinte semmi akarater‹"
"Create","L‚trehoz"
"I don't feel isolated.","Nem ‚rzem magam elszigetelve."
"That's incredibly suspicious!","Ez hihetetlenl gyan£s!"
"Only organized religions can have recognized priesthoods.","Csak szervezett vall soknak lehet elismert paps ga."
"a verse","egy vers"
" from behind"," h tulrol"
"Justice","Igazs gszolg ltat s"
"Sort by distance from the depot.","Rendez‚s a lerakatt¢l val¢ t vols g szerint."
" bruising"," z£z"
"Width","Sz‚less‚g"
"lye slush","l£gos latyak"
"Erosion Cycle Count","Er¢zi¢s ciklusok sz ma"
"The world generator is having trouble placing enough ocean squares along the edges.  ","A vil ggener tornak gondjai vannak a megfelel‹ sz m£ ¢ce ni n‚gyzet elhelyez‚s‚vel a sz‚leken. "
"Left click to choose corners of a rectangle.","Bal kattint ssal v laszthatod ki a t‚glalap sarkait."
" straight-lined"," ny¡l-egyenes"
"Macros","Makr¢k"
"a motor nerve","egy motor ideg"
"a shrine","egy szent‚ly"
"Finalizing art... (","Mûv‚szet v‚gleges¡t‚se... ("
"This passage is richly layered with full chords making use of the available range.  ","Ez a szakasz gazdagon r‚tegzett, teljes akkordokkal, amelyek kihaszn lj k a rendelkez‚sre  ll¢ tartom nyt. "
"Stonecrafter","K‹farag¢"
" on the theme"," a t‚m r¢l"
"in the depths","a m‚lyben"
"Frail","Esend‹"
"suicide","”ngyilkoss g"
" through a hole in the "," a lyukon keresztl "
"Population Cap After Civ Creation","Civiliz ci¢ l‚trehoz sa ut ni n‚pess‚gkorl t"
"Other","Egy‚b"
" but "," de "
"Golden Age","Aranykor"
"Swimmer","ész¢"
" heads"," fejek"
"Knowledge","Tud s"
"No, this isn't humiliating.","Nem, ez nem megal z¢."
"   Events: "," Esem‚nyek: "
"Taiga","Tajga"
"cooking","f‹z‚s"
"a simple passage","egyszerû  tj r¢"
"You might want to adjust the parameters governing elevation frequencies.  ","rdemes lenne be ll¡tanod a magass gi frekvenci kat szab lyoz¢ param‚tereket. "
" together"," egytt"
" strong"," er‹s"
"This is an example urgent alert!  These are very important.  Ignore them at your peril.","Ez egy p‚lda a srg‹ss‚gi riaszt s! Ezek nagyon fontosak. Vesz‚lyes figyelmen k¡vl hagyni ‹ket."
"Sparse","Ritk s"
"Click an icon to set stockpile type.","A k‚szlet t¡pus nak be ll¡t s hoz kattints egy ikonra."
"Loading history...","T”rt‚nelem bet”lt‚se..."
"Magma forge","Magmakoh¢"
"Winter","T‚l"
"Decorum","Illem"
"Disdains harmony","Megveti a harm¢ni t"
"right around here","pontosan itt valahol"
"shrew","cick ny"
"The rules of the form are applied by composers to produce individual pieces of music which can be performed.  ","A formula szab lyait a zeneszerz‹k alkalmazz k, hogy egyedi, el‹adhat¢ zenemûveket hozzanak l‚tre. "
" Year"," v:"
" X-Variance"," X-Elt‚r‚s"
"pressed amber","pr‚selt borosty n"
"Malachite","Malachit"
"the ","a "
"push","tol"
"mountains","hegyek"
"Some locations are challenging even for experienced players, and it will be a very short game indeed if you don't know how to deal with them!","N‚h ny helysz¡n m‚g a tapasztalt j t‚kosok sz m ra is kih¡v st jelent, ‚s val¢ban nagyon r”vid lesz a j t‚k, ha nem tudod, hogyan kell megbirk¢zni velk!"
"an unknown building","egy ismeretlen ‚plet"
" strike at "," r csap s "
"a few hours ago","n‚h ny ¢r ja"
"shield","pajzs"
"The world generator is having trouble placing savagery in the manner specified by the parameters.  ","A vil ggener tornak gondjai vannak a vads gnak a param‚terek  ltal meghat rozott m¢don t”rt‚n‹ elhelyez‚s‚vel. "
" is stumbling around obliviously!"," ”nfeledten botork l!"
"Dig only ore and gems selected, and automine any ore and gems of the same type which are uncovered.","Csak a kiv lasztott ‚rcek ‚s dr gak”vek kerlnek kitermel‚sre, a felt rt azonos t¡pus£ ‚rcek ‚s dr gak”vek automatikusan kerlnek kitermel‚se."
"Zones","Z¢n k"
"Alternatively, you can reduce the number of volcanos required by the parameters.","Alternat¡vak‚nt cs”kkentheted a param‚terek  ltal megk”vetelt vulk nok sz m t."
" of the theme"," a t‚m nak"
"squad","csapat"
"You know of no appropriate stones.","Nem ismersz megfelel‹ k”veket."
"rings","gyûrûk"
"silently ","halkan "
"Wrestling","Birk¢z s"
"opossum","oposszum"
"just","csak"
"tooth","fog"
"Loading object files...","Objektumf jlok bet”lt‚se..."
"Stone Engraving","K‹v‚s‚s"
"ballista parts","balliszta alkatr‚szek"
" and "," ‚s "
"I ate a meal.","Egy fog st ettem."
"Loading art forms...","Mûv‚szeti form k bet”lt‚se..."
"Weaponsmithing","Fegyverk‚sz¡t‚s"
"eating without chair","sz‚k n‚lkl evett"
"Temperate Saltwater Lake","M‚rs‚kelt s¢s vizû t¢"
"Loading cultural identities...","Kultur lis identit sok bet”lt‚se..."
"second ","m sodik "
"suffering","szenved"
"Age of Legends","A Legend k kora"
"very near","nagyon k”zel"
"I talked to my friend.","Besz‚ltem a bar tommal."
"Vengeance","Bossz£"
" having trouble breathing!"," probl‚m s a l‚gz‚s!"
"The poem continues.","A vers folytat¢dik."
